Model, Constraints, SimpleCTCs, FM, FMRelaxed, GFT, FMSans
"Tank War", 0, 0, 37, 37, 37, 37
"Mobile Media", 3, 3, 43, 43, 303, 43
"Pizzas", 2, 5, 12, 16, 131, 10
"GPL excerpt", 2, 5, 12, 16, 117, 10
"WeaFQAs", 7, 7, 179, 179, 19713, 178 
"Truck", 10, 10, 33, 33, 745, 21
"Apo-Games", 14, 19, 63, 72, 328, 48
"MTG Cards", 18, 41, 781, 812, 80807040, 759
"JHipster", 13, 44, 45, 94, 2027, 31
"BerkeleyDB", 20, 46, 76, 76,  28897, 76
"Horcas2022b", 19, 61, 86, 168, 5134, 22
"Oh2019", 29, 61, 19, 107, 522, 19
"Financial Services", 61, 76, 580, 628, ,
"GPL", 32, 86, 66, 156, 2733485, 41
"Ghamizi2019", 110, 110, 1761, 1761, 7763591, 1716
"axTLS", 14, 169, 96, 316, 30925, 83
"Busybox", 681, 930, 631, 1108, , 
"uCLinux-distribution", 197, 1044, 1580, 2601, ,
"Automotive2_4", 1369, 2394, 18616, 19857, , 
"uClinux-base", 3455, 3713, 380, 704, ,
"CDL ea2468", 956, 7795, 1408, 9435, ,
"EMB Toolkit", 323, 15382, 1179, 17857, ,
"Linux-2.6.33.3", 3545, 29175, 6467, 45141, , 
