Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s), Memory(MB)
TankWar, fmsans, 30, 64, 0, 1741824, 7, 0.0001, 0.00010333333333333334, 1.825741858350554e-05, 0.023671
Pizzas_complex, fmsans, 30, 64, 5, 25, 4, 0.06645000000000001, 0.06779, 0.003695043278174994, 0.6781135
WeaFQAs, fmsans, 30, 64, 7, 2.93e24, 1, 0.19705, 0.2366, 0.08376282608939815, 1.4033935
MobileMedia, fmsans, 30, 64, 3, 2128896, 10, 0.07835, 0.07909666666666666, 0.004619783793517894, 0.865798
Akesson2019b, fmsans, 30, 64, 19, 4.30e8, 7, 0.0814, 0.08165333333333333, 0.0033477458533841212, 0.949406
Truck, fmsans, 30, 64, 10, 234, 8, 0.09225, 0.09176, 0.0036647058497943927, 1.0229425
GPL_excerpt, fmsans, 30, 64, 5, 36, 3, 0.0795, 0.07875666666666667, 0.007784541858967873, 0.941552
Oh2019, fmsans, 30, 64, 61, 3840, 3, 0.1062, 0.10939333333333333, 0.009474828115385097, 0.867465
axTLS, fmsans, 30, 64, 169, 6.52e10, 25, 1.96705, 2.00541, 0.0936744338212094, 4.2154035
Horcas2022b, fmsans, 30, 64, 61, 37706, 4, 0.34635, 0.41068333333333334, 0.11611577778482436, 2.043615
BerkeleyDB, fmsans, 30, 64, 46, 4.08e9, 1, 0.3963, 0.39922, 0.019987675513020338, 3.293181
JHipster, fmsans, 30, 64, 44, 26256, 7, 0.15545, 0.1794, 0.06233962596549037, 1.192382
Ghamizi2019, fmsans, 1, 64, 110, 5.06e162, 9, 62.0758, 62.0758, 0, 52.96366
GPL, fmsans, 1, 64, 86, 107094, 5, 90.1466, 90.1466, 0, 468.32698
MTGCard2020, fmsans, 1, 64, 41, 6.89e214, 16, 411.6045, 411.6045, 0, 803.659947
