Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s), Memory(MB)
TankWar, fmsans_gft, 30, 64, 0, 1741824, 7, 0.0001, 0.00010666666666666667, 2.5370813170246243e-05, 0.021743
Pizzas_complex, fmsans_gft, 30, 64, 5, 25, 4, 0.0008, 0.0008266666666666667, 5.2083045976218766e-05, 0.581794
WeaFQAs, fmsans_gft, 30, 64, 7, 2.93e24, 1, 0.06875, 0.06892666666666666, 0.0011881406317938723, 10.673779
MobileMedia, fmsans_gft, 30, 64, 3, 2128896, 10, 0.0013, 0.0013866666666666667, 0.0002192987779787852, 10.653646
Akesson2019b, fmsans_gft, 30, 64, 19, 4.30e8, 7, 0.0013, 0.0014266666666666666, 0.0002958719822576269, 0.788576
Truck, fmsans_gft, 30, 64, 10, 234, 8, 0.0046, 0.00494, 0.000755485685297647, 1.220125
GPL_excerpt, fmsans_gft, 30, 64, 5, 36, 3, 0.0007, 0.00074, 6.746646676632055e-05, 1.259048
Oh2019, fmsans_gft, 30, 64, 61, 3840, 3, 0.0024, 0.0024666666666666665, 0.00016259391627362758, 0.04559
axTLS, fmsans_gft, 30, 64, 169, 6.52e10, 25, 0.12635000000000002, 0.12698333333333334, 0.003082216324540569, 19.224115
Horcas2022b, fmsans_gft, 30, 64, 61, 37706, 4, 0.02715, 0.027093333333333334, 0.0011500924500570209, 21.047946
BerkeleyDB, fmsans_gft, 30, 64, 46, 4.08e9, 1, 0.1306, 0.13128, 0.0026749669672468984, 17.682584
JHipster, fmsans_gft, 30, 64, 44, 26256, 7, 0.01185, 0.011696666666666666, 0.0007997772678445665, 17.961568
Ghamizi2019, fmsans_gft, 1, 64, 110, 5.06e162, 9, 22.9795, 22.9795, 0, 21.212382
GPL, fmsans_gft, 1, 64, 86, 107094, 5, 15.8623, 15.8623, 0, 211.092099
MTCard2020, fmsans_gft, 1, 64, 41, , , , , , 16000
