Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
66,32,75042,397,0.11002832300000001,0.0037539360000000003,0.000649086,0.000736897,0.000627223,937273,1039007,1080066,1046943,1054479,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10886660000000001,0.003794669,0.0006795270000000001,0.000798458,0.0006321510000000001,937273,1039007,1080125,1047002,1054471,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10586283,0.0037263680000000003,0.000613059,0.000758106,0.000619783,937301,1038976,1080094,1046912,1054322,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.11025162100000001,0.0037285,0.000592691,0.0007156490000000001,0.000572404,937293,1039027,1080145,1047022,1054558,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.106537851,0.004422306,0.0008070200000000001,0.000931625,0.000738762,937285,1039019,1080078,1046955,1054491,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.11365525500000001,0.0040378720000000005,0.0008801700000000001,0.00107214,0.0008715550000000001,937297,1039031,1080090,1046967,1054503,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.115285146,0.004539499000000001,0.0007350670000000001,0.00084303,0.0007494870000000001,937305,1038980,1080098,1046916,1054326,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10815502,0.0037674160000000004,0.000622433,0.0007205880000000001,0.0005777930000000001,937285,1039019,1080078,1046955,1054491,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.106387331,0.003781412,0.0006185870000000001,0.0007281560000000001,0.000563921,937297,1038972,1080031,1046908,1054377,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10657401600000001,0.0036442350000000004,0.000622985,0.0007311310000000001,0.000583903,937269,1038944,1080062,1046880,1054290,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10638146100000001,0.0036588270000000003,0.000601052,0.000738847,0.000587904,937293,1039027,1080086,1046963,1054499,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.107847914,0.003647594,0.00060417,0.000722326,0.0005862700000000001,937277,1039011,1080129,1047006,1054475,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10669621000000001,0.00372506,0.000630525,0.0007230600000000001,0.0005537830000000001,937301,1039035,1080094,1046971,1054507,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10571585,0.0036933160000000003,0.000615038,0.000784927,0.00056546,937301,1039035,1080094,1046971,1054507,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.106917415,0.003642726,0.0006134640000000001,0.0007278990000000001,0.000606796,937281,1039015,1080074,1046951,1054487,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.107443561,0.00364708,0.000614005,0.000737604,0.000576797,937293,1039027,1080145,1047022,1054558,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10660087700000001,0.003730816,0.000620719,0.000722148,0.0005687380000000001,937297,1038972,1080090,1046908,1054318,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.106614342,0.003810102,0.0006238200000000001,0.000738295,0.000699753,937293,1039027,1080086,1046963,1054499,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10738529200000001,0.0036945800000000003,0.000608827,0.000729164,0.0006092420000000001,937277,1038952,1080070,1046888,1054298,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.107043251,0.003752562,0.0006091260000000001,0.000728339,0.0006108740000000001,937289,1039023,1080141,1047018,1054554,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.108055596,0.003724446,0.000621019,0.000726126,0.0007123180000000001,937301,1039035,1080153,1047030,1054566,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10725306500000001,0.0038328890000000003,0.0006369240000000001,0.000768157,0.0006296730000000001,937285,1039019,1080137,1047014,1054550,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.105375879,0.003661624,0.0006723110000000001,0.000744346,0.000557462,937297,1039031,1080090,1046967,1054503,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.107243076,0.0037343740000000004,0.000645522,0.00076645,0.0005877440000000001,937277,1039011,1080129,1047006,1054542,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10828385500000001,0.0037394290000000003,0.000711206,0.0007740630000000001,0.000569557,937285,1039019,1080137,1047014,1054550,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10795131200000001,0.003726113,0.000596996,0.00070668,0.000569072,937285,1038960,1080078,1046896,1054306,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
66,32,75042,397,0.10602154500000001,0.003697276,0.000613419,0.00073558,0.0005818420000000001,937261,1038995,1080113,1046990,1054526,107094,5,"['Gpl', 'MainGpl', 'Test', 'StartHere', 'Base']",0,"[]"
