Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ConfigNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ConfigNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
45,13,42839,402,0.12414728500000001,0.004711107,0.000981577,0.001083379,0.001007151,725360,829007,843662,837001,844225,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12353021800000001,0.004781247000000001,0.000984152,0.001342611,0.00096,725352,828999,843654,836934,844158,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.166661351,0.004904144,0.0010334740000000002,0.001078979,0.000907186,725348,828995,843650,836989,844154,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12229777800000001,0.004803455,0.0010934130000000001,0.002106466,0.001039276,725356,829003,843658,836997,844221,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.15313600300000002,0.004800024,0.0009599780000000001,0.001110206,0.0009057000000000001,725352,828999,843654,836993,844217,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12157569700000001,0.005101024,0.0011454990000000001,0.0010878790000000001,0.000931912,725360,829007,843662,837001,844225,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.125012497,0.0048442170000000005,0.0009736240000000001,0.001211435,0.000901506,725356,829003,843658,836997,844221,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12433596400000001,0.004673006,0.0010527210000000002,0.001180199,0.000936382,725372,829019,843674,836954,844178,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12347318500000001,0.005994215000000001,0.0010056140000000002,0.001108391,0.001092944,725368,829015,843670,837009,844233,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12301933200000001,0.0048670020000000005,0.001431594,0.001125603,0.000941719,725376,829023,843678,837017,844241,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.125660628,0.0047691,0.001011861,0.001278167,0.000922267,725360,829007,843662,837001,844225,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12311000200000001,0.004781149,0.0010323490000000001,0.001156897,0.000902683,725352,828999,843654,836993,844217,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.123181467,0.00482339,0.001072365,0.001207926,0.001246317,725356,829003,843658,836997,844221,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12309053800000001,0.004994696000000001,0.001114776,0.001098435,0.000919133,725332,828979,843634,836973,844197,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.123598097,0.00485132,0.000979905,0.00117811,0.0011872150000000001,725348,828995,843650,836989,844213,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.122167438,0.004852189000000001,0.0011501620000000001,0.001110066,0.000937207,725372,829019,843674,837013,844237,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.125282547,0.0048423500000000005,0.000991177,0.0010952450000000001,0.0009108780000000001,725344,828991,843646,836985,844209,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12534993900000002,0.005242094,0.000988317,0.001126283,0.001120925,725356,829003,843658,836997,844221,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.14014858200000002,0.00488811,0.0009485520000000001,0.001122563,0.000988841,725352,828999,843654,836993,844217,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,402,0.12580747,0.004604991,0.000969592,0.0010822890000000002,0.0009573890000000001,725376,829023,843678,837017,844182,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
