Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
580,61,347065,395,0.564660084,0.005065466,0.0019518170000000002,0.002523997,0.002291637,2832532,3635782,6185206,2998968,3003619,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.601824484,0.006434386,0.0038445260000000005,0.002788102,0.0021745220000000003,2832520,3635770,6185194,2998956,3003607,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.5680203650000001,0.005731283,0.001954959,0.002573333,0.00229533,2832504,3635754,6185111,2998873,3003524,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.56684996,0.005676192,0.0019478070000000002,0.0028111060000000003,0.0022767720000000003,2832536,3635786,6185143,2998905,3003556,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.561846901,0.005512503,0.0019665760000000003,0.0025140320000000002,0.002202824,2832544,3635794,6185159,2998921,3003572,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.566522861,0.006958571,0.0019786490000000003,0.0024603940000000003,0.0023507520000000002,2832544,3635794,6185151,2998913,3003564,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.558803477,0.0065966340000000005,0.001960819,0.002494416,0.002228149,2832536,3635786,6185143,2998905,3003556,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.5626284450000001,0.006222271000000001,0.001975997,0.002539354,0.002283792,2832544,3635794,6185218,2998921,3003572,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.559024017,0.00588402,0.0018950140000000002,0.002500745,0.002303865,2832540,3635790,6185147,2998909,3003560,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
580,61,347065,395,0.566517067,0.009583703,0.002021099,0.002390217,0.0021387000000000003,2832520,3635770,6185135,2998897,3003548,670835392217915992620756389801511206268241003847463298989097376609665601475491439106126208040960000000,15,"['R', 'o_2', '_Gi__2_1', 'g_2_1_4', 'o_2_1_4_1', 'o_3', '_Gi__3_1', 'o_3_2', 'o_3_3', '_Gi__3_3_2', 'g_3_3_2_1', 'o_7', 'o_8', 'o_8_3', 'o_9_2']",10,"['o_1_1_3', 'o_1_1_3_1', 'o_1_1_1_2', 'g_1_2_2_2', 'o_1_3_6', 'o_2_5_1_2', 'o_3_2_2', 'o_3_2_2_2', 'o_7_2_5', 'g_7_1_3_3']"
