Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
19,29,39522,398,0.047584532000000006,0.0026322000000000003,0.0009008890000000001,0.000554205,0.00043069200000000004,533067,637148,646001,645205,651463,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046235537,0.002471568,0.00060238,0.000538036,0.00043580800000000004,533059,637207,646001,645205,651404,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046873142,0.0023715290000000003,0.000605563,0.00054318,0.00039738800000000004,533043,637191,646044,645181,651439,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046487202000000005,0.0023698070000000003,0.000553161,0.000531178,0.000429396,533063,637211,646064,645201,651459,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.050770632,0.0027970380000000004,0.0008757600000000001,0.0009241220000000001,0.0008903540000000001,533071,637219,646072,645209,651467,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.047181103,0.002415656,0.00056692,0.00057379,0.00040802000000000004,533055,637203,646056,645260,651518,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046347869,0.00248489,0.000581515,0.0005699650000000001,0.000434619,533055,637136,645989,645193,651451,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.047788424,0.0025351370000000002,0.000556319,0.000557455,0.000412367,533039,637187,645981,645185,651443,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.04666506,0.002392856,0.000568536,0.000548448,0.000421353,533039,637187,646040,645177,651435,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.047911632,0.002510562,0.000551343,0.000539179,0.00039506700000000003,533039,637187,645981,645185,651443,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046805521,0.0024451660000000004,0.0005567650000000001,0.00057972,0.00040591700000000005,533043,637191,645985,645189,651388,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046996404000000006,0.00246026,0.0005667620000000001,0.0005965040000000001,0.00040706000000000005,533059,637140,645993,645197,651455,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046368651000000004,0.002468587,0.000563681,0.000538391,0.00039980800000000003,533047,637128,645922,645067,651266,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046315571,0.0024577360000000003,0.000566327,0.0005524270000000001,0.000400591,533063,637144,645997,645201,651459,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046937829,0.002413362,0.000563755,0.000541475,0.00040408100000000004,533051,637199,646052,645256,651514,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046441094,0.002398944,0.000553338,0.000541143,0.00039474800000000005,533051,637199,646052,645189,651447,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.047073876,0.0024205980000000004,0.000565823,0.000562419,0.00039640300000000003,533051,637199,646052,645256,651514,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046701657,0.002418524,0.000551891,0.0005412440000000001,0.000398226,533051,637199,646052,645256,651455,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.047069487,0.0024562290000000003,0.000562481,0.000562023,0.00041673400000000004,533071,637219,646072,645276,651534,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.04649106,0.0024474640000000003,0.000566607,0.0005857680000000001,0.00040682100000000003,533047,637195,645989,645193,651392,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046601779,0.0024331590000000003,0.000629015,0.000556467,0.00041362900000000005,533055,637203,646056,645193,651451,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046982591000000004,0.0024139400000000003,0.000562041,0.0005480320000000001,0.00040038400000000005,533055,637203,646056,645260,651518,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.045883766,0.002366242,0.000562875,0.000531015,0.000398212,533055,637203,645997,645201,651459,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046784572,0.002390431,0.000563896,0.0005402930000000001,0.00048187200000000005,533051,637132,645985,645189,651447,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046061698000000005,0.002376426,0.000545139,0.000546602,0.00039589800000000005,533047,637195,645989,645193,651451,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046115663,0.0024154370000000003,0.000574643,0.0005570750000000001,0.000407671,533063,637211,646005,645209,651467,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.048338492000000004,0.0024531500000000003,0.0005603530000000001,0.0005454380000000001,0.00043974300000000003,533047,637128,645922,645067,651266,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046199148,0.002588781,0.000583974,0.0005740750000000001,0.000427509,533055,637203,646056,645193,651451,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046097545000000004,0.002434743,0.000553568,0.00056218,0.000414938,533059,637140,645993,645197,651455,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
19,29,39522,398,0.046305171000000006,0.0024161350000000002,0.000605108,0.000566194,0.000455951,533063,637211,646005,645209,651408,3840,3,"['Root', 'CACHESIZE', 'PAGESIZE']",0,"[]"
