Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
12,2,9407,399,0.053663406000000004,0.003283119,0.00095531,0.001182977,0.000810355,480117,585605,593653,593509,599652,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.051910785,0.0031752010000000003,0.0009391810000000001,0.001029968,0.0007195260000000001,480109,585597,593578,593493,599636,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.05087173800000001,0.003704727,0.0014688350000000001,0.0012086,0.0012893260000000001,480113,585601,593582,593497,599640,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.050779054000000004,0.0030571530000000004,0.001226274,0.0009539580000000001,0.0007610420000000001,480125,585613,593661,593576,599719,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.088149219,0.006743815,0.0014589100000000001,0.0015539890000000002,0.0009925350000000001,480109,585597,593645,593501,599644,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.08935646800000001,0.004493503,0.001355969,0.0010974230000000001,0.000739597,480097,585585,593566,593481,599624,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.057039649000000005,0.003498108,0.000946628,0.0009091040000000001,0.000726115,480093,585581,593629,593544,599687,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.052264714000000004,0.0032231570000000004,0.001183971,0.0009475800000000001,0.0007383950000000001,480097,585585,593566,593481,599624,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.066377883,0.0033390520000000003,0.001169771,0.000927927,0.0007589560000000001,480133,585621,593602,593517,599660,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.056441515000000005,0.0031549580000000002,0.000978846,0.001010669,0.0007133090000000001,480117,585605,593653,593568,599711,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.05732406,0.003399805,0.0010480650000000002,0.001013398,0.000675702,480141,585562,593610,593525,599609,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.051830078,0.003255473,0.001001046,0.0008847620000000001,0.0007059420000000001,480137,585625,593673,593588,599731,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.052122675,0.0032503130000000003,0.0011155800000000001,0.0008468610000000001,0.0006710010000000001,480129,585617,593665,593521,599664,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.058274267000000005,0.0032707260000000003,0.0009371890000000001,0.000855161,0.000705378,480125,585613,593661,593517,599660,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.050761932,0.003276858,0.0011556000000000001,0.0009560500000000001,0.000695063,480113,585601,593582,593497,599640,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.064190016,0.004170728,0.0009806770000000001,0.0012699200000000001,0.001003689,480117,585605,593653,593509,599652,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.068717713,0.003984037,0.001393417,0.00101518,0.0009444340000000001,480113,585601,593649,593564,599707,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.068538889,0.004199917,0.0012609890000000001,0.000939107,0.000685805,480105,585593,593641,593556,599699,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.062169749,0.004561221,0.001094285,0.001072728,0.001060757,480101,585522,593570,593485,599569,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.063085345,0.004181121,0.0010968050000000002,0.000907014,0.000766604,480133,585621,593669,593584,599727,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.055097341,0.0035215710000000002,0.0011495400000000001,0.000893069,0.0007123,480117,585605,593653,593568,599711,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.050868458000000005,0.003482778,0.0012061790000000001,0.0009246030000000001,0.000759833,480113,585534,593582,593497,599581,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.051372285000000004,0.003273255,0.0009414670000000001,0.0008813320000000001,0.0006774200000000001,480113,585534,593582,593497,599581,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.051299364,0.003210122,0.0013720730000000001,0.001367018,0.0009444840000000001,480117,585605,593653,593568,599711,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.10888117500000001,0.00558656,0.001761008,0.0025117810000000003,0.001278106,480125,585613,593661,593517,599660,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.069440368,0.0034158900000000004,0.0012822500000000002,0.0013141840000000001,0.001121091,480121,585609,593657,593572,599715,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.07299683500000001,0.0036031870000000003,0.000979987,0.0008839340000000001,0.0007349300000000001,480109,585538,593586,593501,599644,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.051300595000000004,0.0034142530000000003,0.001098056,0.000894617,0.000737034,480125,585613,593594,593509,599652,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.058800262000000006,0.0034141260000000004,0.0009506800000000001,0.0008892920000000001,0.0008074110000000001,480133,585621,593602,593517,599660,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,399,0.051735711000000004,0.0033522150000000004,0.001147233,0.001126204,0.0008151930000000001,480129,585550,593598,593513,599597,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
