Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
33,10,25987,399,0.054544846,0.0019483030000000002,0.000599307,0.000611649,0.00047767500000000005,557806,662684,674019,670776,677717,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054429415,0.0018620110000000002,0.000614273,0.000608213,0.000452657,557810,662629,673964,670721,677662,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053516619,0.001812355,0.0005644840000000001,0.0005990570000000001,0.00045013500000000005,557810,662688,674023,670780,677721,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054011775000000005,0.0018535650000000002,0.000587485,0.000635921,0.000462025,557802,662621,673956,670713,677654,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.057730756,0.002124256,0.000630748,0.000624063,0.00049291,557810,662688,674023,670780,677721,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.055087312000000006,0.0018475030000000001,0.000573737,0.000575916,0.00045726400000000003,557782,662660,673995,670752,677693,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.052976803,0.0017725710000000001,0.000570002,0.000622148,0.000485126,557786,662664,673999,670756,677697,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.055066039000000004,0.0018461430000000002,0.0005763480000000001,0.000687434,0.00066412,557810,662688,674023,670780,677721,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053857207000000004,0.0018176280000000002,0.000570918,0.0006121540000000001,0.000669367,557806,662684,674019,670776,677717,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.05390292,0.001795095,0.000570913,0.000604335,0.00047242100000000005,557802,662680,674015,670772,677713,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.055277899000000005,0.001827517,0.000567372,0.000587135,0.00045616700000000005,557818,662696,674031,670788,677729,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054667508000000004,0.0018575430000000001,0.000581455,0.000584539,0.00045085000000000004,557810,662688,674023,670780,677721,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054072163000000006,0.001801625,0.000563503,0.000599696,0.00044220900000000005,557790,662668,674003,670760,677701,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054557913000000006,0.001849256,0.000564426,0.000599201,0.0004555,557806,662684,674019,670776,677717,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053997459000000005,0.001795909,0.000568965,0.000598846,0.00046094800000000003,557826,662704,674039,670796,677737,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053640587,0.001777892,0.000566636,0.0005763900000000001,0.000458505,557810,662629,673964,670721,677662,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053041574,0.001792114,0.000569397,0.0005850440000000001,0.00045069500000000003,557822,662641,673976,670733,677674,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054568392,0.0018402380000000001,0.000607703,0.000572741,0.00047185300000000005,557814,662692,674027,670784,677725,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054386099,0.0018387140000000002,0.000570751,0.0006167260000000001,0.000464542,557814,662692,674027,670784,677725,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053849508000000004,0.001783333,0.000596057,0.000585284,0.00046095900000000004,557818,662696,674031,670788,677729,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054205202,0.0018299660000000001,0.0005875660000000001,0.0006026790000000001,0.00047891400000000004,557790,662668,674003,670760,677701,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054221793000000004,0.001935604,0.00060258,0.0006243280000000001,0.000485447,557806,662625,673960,670717,677658,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.053518301000000004,0.0018367770000000002,0.000569783,0.0006044230000000001,0.00045647000000000005,557806,662684,674019,670776,677717,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.05489556,0.0018323130000000001,0.0005885990000000001,0.000645583,0.000485836,557814,662692,674027,670784,677725,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
33,10,25987,399,0.054718888,0.001829689,0.0006130780000000001,0.00058604,0.000448584,557818,662696,674031,670788,677729,234,8,"['Truck', 'Weight', 'Type', 'Engine', 'Cabin', 'Axles', 'Count', 'Drivetrain']",1,"['Beds2']"
