Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
179,7,89642,398,0.18308849500000002,0.002192409,0.000645236,0.001076988,0.0009448540000000001,1008986,1242408,1155464,1128547,1131453,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18510716600000002,0.002346473,0.000650293,0.001090272,0.0009501170000000001,1008978,1242400,1155456,1128539,1131445,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.198842346,0.002326828,0.00066036,0.001148724,0.000947751,1008986,1242408,1155464,1128547,1131453,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18243046100000002,0.0022596120000000003,0.000641478,0.001096226,0.000953934,1008986,1242408,1155464,1128488,1131394,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.187484121,0.0026415320000000003,0.0009632960000000001,0.00137527,0.001003587,1008994,1242416,1155472,1128555,1131461,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18964237,0.002185448,0.000654416,0.0011229220000000002,0.0009401020000000001,1008974,1242396,1155452,1128535,1131441,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18227125600000002,0.0022344500000000002,0.000652056,0.001109582,0.0009647070000000001,1008998,1242420,1155476,1128559,1131465,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.182761898,0.002177867,0.000633635,0.0010565280000000002,0.001037733,1008978,1242400,1155456,1128480,1131386,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.183745243,0.002276175,0.000671239,0.0010579460000000001,0.0009108300000000001,1008982,1242404,1155460,1128543,1131449,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18298418600000002,0.0022740480000000003,0.00064804,0.0011524600000000001,0.0009437820000000001,1008986,1242408,1155464,1128547,1131453,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.182160334,0.0022730000000000003,0.0006250440000000001,0.001088802,0.0009518,1009006,1242428,1155484,1128567,1131473,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18275101700000002,0.002400761,0.000675248,0.0010696310000000001,0.000979071,1008978,1242400,1155456,1128480,1131386,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.183028575,0.002135174,0.000668133,0.001111005,0.000965379,1008982,1242404,1155460,1128543,1131449,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.183384974,0.002245248,0.0006347690000000001,0.001079338,0.0009726960000000001,1008986,1242408,1155464,1128547,1131453,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.186805249,0.0022278180000000003,0.00062445,0.001123003,0.0009905790000000001,1008994,1242416,1155472,1128555,1131461,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18493704800000002,0.0022185250000000003,0.000638898,0.001102459,0.000975947,1008998,1242420,1155476,1128500,1131406,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18152679300000002,0.002152406,0.000639729,0.001133446,0.000979258,1008982,1242404,1155460,1128543,1131449,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.185942302,0.002404658,0.0006417990000000001,0.001106634,0.0009549760000000001,1008986,1242408,1155464,1128488,1131394,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.185357196,0.0022912170000000003,0.0006907090000000001,0.0011886590000000001,0.0009481320000000001,1008990,1242412,1155468,1128492,1131398,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.186742663,0.002239505,0.0006452610000000001,0.0011065410000000002,0.0010274910000000002,1008986,1242408,1155464,1128547,1131453,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18209820200000001,0.002161875,0.000697655,0.001164728,0.000988914,1008982,1242404,1155460,1128484,1131390,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.185849588,0.002329109,0.000647468,0.001107596,0.0009443040000000001,1008978,1242400,1155456,1128539,1131445,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.187354395,0.0022427320000000003,0.000699464,0.001102782,0.0009670340000000001,1008986,1242408,1155464,1128547,1131453,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.184299813,0.0022394050000000003,0.0007075600000000001,0.001101116,0.0009619800000000001,1008982,1242404,1155460,1128484,1131390,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18358517000000002,0.002202515,0.0006567610000000001,0.001118174,0.000926254,1008986,1242408,1155464,1128488,1131394,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.185344842,0.002180623,0.000646004,0.001079595,0.0009401710000000001,1008978,1242400,1155456,1128539,1131445,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18283934500000001,0.0021860200000000003,0.0006507,0.001093931,0.001054253,1008982,1242404,1155460,1128543,1131449,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18531982900000002,0.002263988,0.0006559690000000001,0.001088788,0.0009558370000000001,1008998,1242420,1155476,1128500,1131406,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18934888100000002,0.0022159740000000003,0.000628719,0.0011363550000000001,0.0009712770000000001,1008982,1242404,1155460,1128543,1131449,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
179,7,89642,398,0.18160393000000002,0.0022564440000000002,0.000655087,0.0010916580000000001,0.000963037,1008986,1242408,1155464,1128488,1131394,2934973779180551210188799,3,"['FQAs', 'Security', 'Usability']",0,"[]"
