Features,Constraints,FM_size(B),BDD_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
76,20,68633,404,0.12249111800000001,0.0052043720000000005,0.000703114,0.0007884080000000001,0.000611372,884578,969280,637533,620745,628551,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11898736100000001,0.005031731,0.000628112,0.000782777,0.0006693830000000001,884570,969272,637525,620737,628543,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.12196432100000001,0.005014448,0.0006529680000000001,0.0008069790000000001,0.0006813020000000001,884582,969284,637537,620749,628555,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.125691444,0.0051332290000000004,0.000618003,0.0007943360000000001,0.000604048,884574,969276,637529,620741,628547,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.118592847,0.005094418000000001,0.0006351610000000001,0.000849039,0.000662425,884594,969296,637549,620761,628567,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11908114400000001,0.005092501,0.000677907,0.000826426,0.0006373370000000001,884586,969288,637541,620753,628559,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.118408912,0.0050151810000000005,0.000647423,0.0007918420000000001,0.0006129530000000001,884590,969292,637545,620757,628504,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.122092296,0.005082532000000001,0.000626179,0.000773406,0.0006181250000000001,884562,969264,637517,620729,628476,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11994571000000001,0.005044163,0.0006346720000000001,0.0008190430000000001,0.0006519080000000001,884574,969276,637529,620741,628547,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11808799,0.0051225640000000005,0.000638406,0.0007814520000000001,0.000730164,884598,969300,637494,620706,628512,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.119331483,0.005019185000000001,0.0006400290000000001,0.0007721900000000001,0.000622754,884598,969300,637553,620765,628571,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.119363883,0.0050842560000000005,0.000643201,0.000795124,0.000763951,884574,969276,637529,620741,628547,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.118925822,0.005291214000000001,0.000737744,0.000891184,0.000901449,884590,969292,637545,620757,628563,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.12128920100000001,0.005002594,0.000640617,0.000805798,0.0007571380000000001,884574,969276,637529,620741,628547,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.12138444500000001,0.00513802,0.000674157,0.000864264,0.000786456,884586,969288,637541,620753,628559,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.117241677,0.00507537,0.000627264,0.0007926960000000001,0.00061603,884578,969280,637533,620745,628492,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.12078275100000001,0.005102604,0.000650781,0.0008337230000000001,0.000652009,884574,969276,637529,620741,628547,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11964321300000001,0.005125394,0.000630841,0.0007886630000000001,0.000611696,884590,969292,637545,620757,628563,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11839092300000001,0.005085317000000001,0.000649948,0.0007880890000000001,0.000624133,884582,969284,637537,620749,628555,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.12269254700000001,0.005074634000000001,0.0006374870000000001,0.000791999,0.000606443,884574,969276,637529,620741,628488,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11844441000000001,0.005107410000000001,0.00062673,0.000790283,0.000628918,884602,969304,637557,620769,628516,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.119379278,0.0051723820000000005,0.000650258,0.0008062400000000001,0.0006671670000000001,884582,969284,637537,620749,628555,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.11822267500000001,0.00502413,0.000635102,0.000771264,0.000593468,884598,969300,637553,620765,628571,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.124492979,0.005203879000000001,0.000699705,0.000834221,0.0006346380000000001,884586,969288,637541,620753,628559,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.134141702,0.0062599050000000005,0.0007507200000000001,0.001075171,0.0008239730000000001,884566,969268,637521,620733,628539,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.131620334,0.007882884,0.0008208190000000001,0.0008853200000000001,0.0006792520000000001,884590,969292,637545,620757,628563,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.13549465800000002,0.008983077,0.000791228,0.000894695,0.0007313,884578,969280,637474,620686,628492,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.128080897,0.005126441000000001,0.000626452,0.0008203220000000001,0.000602237,884586,969288,637541,620753,628559,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
76,20,68633,404,0.119566615,0.005323582,0.000629729,0.000821869,0.000983038,884562,969264,637517,620729,628535,4080389785,5,"['BerkeleyDb', 'BerkeleyDB', 'FPersistency', 'FBtree', 'BASE']",0,"[]"
