Features,Constraints,FM_size(B),FMSans_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
45,13,42839,98682,0.124183415,0.025542177000000003,0.059947916000000004,0.08819837500000001,0.08770554000000001,726528,1027886,1307906,2528091,3801415,26256,7,"['Generator', 'JHipster', 'BackEnd', 'Gatling', 'Authentication', 'Cucumber', 'TestingFrameworks']",0,"[]"
45,13,42839,98682,0.12585547800000002,0.034316519000000004,0.058669812,0.093107698,0.09105558600000001,726516,1027876,1307463,2495062,3805973,26256,7,"['BackEnd', 'Cucumber', 'Authentication', 'Gatling', 'TestingFrameworks', 'Generator', 'JHipster']",0,"[]"
45,13,42839,98686,0.117981028,0.025621709000000003,0.058956031000000006,0.094154083,0.10121465900000001,726524,1027882,1307475,2522233,3801587,26256,7,"['Gatling', 'TestingFrameworks', 'Authentication', 'Cucumber', 'JHipster', 'Generator', 'BackEnd']",0,"[]"
45,13,42839,98682,0.11728914500000001,0.026083167,0.071992017,0.11358934400000001,0.094174874,726520,1027874,1307300,2522970,3802575,26256,7,"['Gatling', 'Authentication', 'BackEnd', 'Generator', 'TestingFrameworks', 'Cucumber', 'JHipster']",0,"[]"
45,13,42839,98682,0.11711307400000001,0.025753132,0.062378769,0.10138736500000001,0.109759433,726532,1027782,1307022,2495472,3806181,26256,7,"['Gatling', 'Cucumber', 'BackEnd', 'Authentication', 'JHipster', 'Generator', 'TestingFrameworks']",0,"[]"
45,13,42839,98658,0.11745073700000001,0.025428263000000003,0.070632129,0.100179559,0.09801058300000001,726524,1027876,1307038,2496142,3806289,26256,7,"['Generator', 'Cucumber', 'TestingFrameworks', 'BackEnd', 'JHipster', 'Authentication', 'Gatling']",0,"[]"
45,13,42839,98658,0.11788412300000001,0.025663448000000002,0.064555993,0.109185107,0.10608262,726512,1027923,1306911,2495262,3794400,26256,7,"['Cucumber', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Authentication', 'JHipster', 'Generator']",0,"[]"
45,13,42839,98670,0.11581817100000001,0.025556449000000002,0.066789875,0.085579688,0.095616747,726528,1027827,1306956,2521764,3800976,26256,7,"['Generator', 'Authentication', 'TestingFrameworks', 'Gatling', 'BackEnd', 'JHipster', 'Cucumber']",0,"[]"
45,13,42839,98678,0.11649561600000001,0.02501515,0.063599444,0.10310134700000001,0.10172783,726496,1027795,1306438,2495821,3794982,26256,7,"['TestingFrameworks', 'Generator', 'BackEnd', 'Gatling', 'Authentication', 'JHipster', 'Cucumber']",0,"[]"
45,13,42839,98666,0.11632381500000001,0.028664458,0.059129066,0.096871433,0.100616467,726524,1027990,1307672,2496226,3794442,26256,7,"['Generator', 'JHipster', 'TestingFrameworks', 'BackEnd', 'Authentication', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,98674,0.11725133500000001,0.025877767000000003,0.065778011,0.10110801400000001,0.100292797,726532,1027890,1307533,2495977,3806628,26256,7,"['Generator', 'BackEnd', 'Cucumber', 'Authentication', 'TestingFrameworks', 'JHipster', 'Gatling']",0,"[]"
