Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,32768,2,25,27,32741,0.0468
Random,1,32768,4,59,63,32705,0.0397
Random,2,32768,0,1,1,32766,0
Random,3,32768,0,1,1,32766,0
Random,4,32768,0,1,1,32766,0
Random,5,32768,0,1,1,32766,0
Random,6,32768,2,31,33,32735,0.0372
Random,7,32768,1,15,16,32752,0.0392
Random,8,32768,1,36,37,32731,0.0378
Random,9,32768,1,15,16,32752,0.0213
Random,10,32768,0,1,1,32766,0
Random,11,32768,1,15,16,32752,0.0379
Random,12,32768,0,1,1,32766,0
Random,13,32768,2,16,18,32750,0.0245
Random,14,32768,1,20,21,32747,0.0383
Random,15,32768,0,1,1,32766,0
Random,16,32768,0,1,1,32766,0
Random,17,32768,2,28,30,32738,0.0491
Random,18,32768,0,14,14,32754,0.0369
Random,19,32768,0,1,1,32766,0
Random,20,32768,0,1,1,32766,0
Random,21,32768,1,20,21,32747,0.023
Random,22,32768,0,1,1,32766,0
Random,23,32768,0,1,1,32766,0
Random,24,32768,0,1,1,32766,0
Random,25,32768,0,8,8,32760,0.006
Random,26,32768,0,1,1,32766,0
Random,27,32768,0,1,1,32766,0
Random,28,32768,2,49,51,32717,0.0345
Random,29,32768,0,1,1,32766,0
Random,30,32768,2,29,31,32737,0.0254
