Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,32768,5,49,54,32714,0.0185
Genetic,1,32768,5,46,51,32717,0.0195
Genetic,2,32768,5,60,65,32703,0.0227
Genetic,3,32768,4,37,41,32727,0.0195
Genetic,4,32768,5,65,70,32698,0.0245
Genetic,5,32768,6,47,53,32715,0.0182
Genetic,6,32768,5,54,59,32709,0.0227
Genetic,7,32768,5,41,46,32722,0.02
Genetic,8,32768,6,42,48,32720,0.0177
Genetic,9,32768,6,51,57,32711,0.0202
Genetic,10,32768,5,79,84,32684,0.0301
Genetic,11,32768,5,93,98,32670,0.0364
Genetic,12,32768,5,50,55,32713,0.0207
Genetic,13,32768,5,51,56,32712,0.0208
Genetic,14,32768,5,47,52,32716,0.0196
Genetic,15,32768,6,40,46,32722,0.0177
Genetic,16,32768,5,55,60,32708,0.0221
Genetic,17,32768,5,52,57,32711,0.0214
Genetic,18,32768,5,50,55,32713,0.0202
Genetic,19,32768,6,48,54,32714,0.0197
Genetic,20,32768,5,64,69,32699,0.0252
Genetic,21,32768,5,56,61,32707,0.0228
Genetic,22,32768,5,45,50,32718,0.0187
Genetic,23,32768,6,45,51,32717,0.0197
Genetic,24,32768,5,50,55,32713,0.0227
Genetic,25,32768,5,56,61,32707,0.0291
Genetic,26,32768,5,43,48,32720,0.0187
Genetic,27,32768,5,52,57,32711,0.0222
Genetic,28,32768,5,52,57,32711,0.0206
Genetic,29,32768,5,48,53,32715,0.0199
Genetic,30,32768,5,44,49,32719,0.0187
