Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,32768,4,41,45,32723,0.0421
Normal,1,32768,4,41,45,32723,0.044
Normal,2,32768,4,41,45,32723,0.0443
Normal,3,32768,4,41,45,32723,0.0525
Normal,4,32768,4,41,45,32723,0.0451
Normal,5,32768,4,41,45,32723,0.0434
Normal,6,32768,4,41,45,32723,0.0481
Normal,7,32768,4,41,45,32723,0.0298
Normal,8,32768,4,41,45,32723,0.0447
Normal,9,32768,4,41,45,32723,0.0438
Normal,10,32768,4,41,45,32723,0.039
Normal,11,32768,4,41,45,32723,0.0493
Normal,12,32768,4,41,45,32723,0.0579
Normal,13,32768,4,41,45,32723,0.0406
Normal,14,32768,4,41,45,32723,0.0366
Normal,15,32768,4,41,45,32723,0.0375
Normal,16,32768,4,41,45,32723,0.0296
Normal,17,32768,4,41,45,32723,0.0291
Normal,18,32768,4,41,45,32723,0.0292
Normal,19,32768,4,41,45,32723,0.0292
Normal,20,32768,4,41,45,32723,0.0526
Normal,21,32768,4,41,45,32723,0.0338
Normal,22,32768,4,41,45,32723,0.0449
Normal,23,32768,4,41,45,32723,0.0461
Normal,24,32768,4,41,45,32723,0.0302
Normal,25,32768,4,41,45,32723,0.0291
Normal,26,32768,4,41,45,32723,0.0348
Normal,27,32768,4,41,45,32723,0.0299
Normal,28,32768,4,41,45,32723,0.0477
Normal,29,32768,4,41,45,32723,0.0378
Normal,30,32768,4,41,45,32723,0.041
