Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,32768,0,1,1,32766,0
Removed,1,32768,0,1,1,32766,0
Removed,2,32768,0,1,1,32766,0
Removed,3,32768,0,1,1,32766,0
Removed,4,32768,0,1,1,32766,0
Removed,5,32768,0,1,1,32766,0
Removed,6,32768,0,1,1,32766,0
Removed,7,32768,0,1,1,32766,0
Removed,8,32768,0,1,1,32766,0
Removed,9,32768,0,1,1,32766,0
Removed,10,32768,0,1,1,32766,0
Removed,11,32768,0,1,1,32766,0
Removed,12,32768,0,1,1,32766,0
Removed,13,32768,0,1,1,32766,0
Removed,14,32768,0,1,1,32766,0
Removed,15,32768,0,1,1,32766,0
Removed,16,32768,0,1,1,32766,0
Removed,17,32768,0,1,1,32766,0
Removed,18,32768,0,1,1,32766,0
Removed,19,32768,0,1,1,32766,0
Removed,20,32768,0,1,1,32766,0
Removed,21,32768,0,1,1,32766,0
Removed,22,32768,0,1,1,32766,0
Removed,23,32768,0,1,1,32766,0
Removed,24,32768,0,1,1,32766,0
Removed,25,32768,0,1,1,32766,0
Removed,26,32768,0,1,1,32766,0
Removed,27,32768,0,1,1,32766,0
Removed,28,32768,0,1,1,32766,0
Removed,29,32768,0,1,1,32766,0
Removed,30,32768,0,1,1,32766,0
