Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,524288,7,78,85,524189,0.0185
Genetic,1,524288,7,77,84,524190,0.0195
Genetic,2,524288,7,96,103,524171,0.0227
Genetic,3,524288,7,84,91,524184,0.0195
Genetic,4,524288,7,108,115,524159,0.0245
Genetic,5,524288,7,76,83,524191,0.0182
Genetic,6,524288,7,93,100,524174,0.0227
Genetic,7,524288,7,69,76,524198,0.02
Genetic,8,524288,7,71,78,524196,0.0177
Genetic,9,524288,7,82,89,524185,0.0202
Genetic,10,524288,7,125,132,524142,0.0301
Genetic,11,524288,7,141,148,524126,0.0364
Genetic,12,524288,7,80,87,524187,0.0207
Genetic,13,524288,7,82,89,524185,0.0208
Genetic,14,524288,7,79,86,524188,0.0196
Genetic,15,524288,7,69,76,524198,0.0177
Genetic,16,524288,7,91,98,524176,0.0221
Genetic,17,524288,7,82,89,524185,0.0214
Genetic,18,524288,7,79,86,524188,0.0202
Genetic,19,524288,7,77,84,524190,0.0197
Genetic,20,524288,7,102,109,524165,0.0252
Genetic,21,524288,7,92,99,524175,0.0228
Genetic,22,524288,7,75,82,524192,0.0187
Genetic,23,524288,7,74,81,524193,0.0197
Genetic,24,524288,7,80,87,524187,0.0227
Genetic,25,524288,7,95,102,524172,0.0291
Genetic,26,524288,7,73,80,524194,0.0187
Genetic,27,524288,7,82,89,524185,0.0222
Genetic,28,524288,7,83,90,524184,0.0206
Genetic,29,524288,7,83,90,524184,0.0199
Genetic,30,524288,7,72,79,524195,0.0187
