Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,524288,7,93,100,524175,0.0482
Normal,1,524288,7,93,100,524175,0.0454
Normal,2,524288,7,93,100,524175,0.0495
Normal,3,524288,7,93,100,524175,0.0525
Normal,4,524288,7,93,100,524175,0.0477
Normal,5,524288,7,93,100,524175,0.0539
Normal,6,524288,7,93,100,524175,0.049
Normal,7,524288,7,93,100,524175,0.0315
Normal,8,524288,7,93,100,524175,0.0531
Normal,9,524288,7,93,100,524175,0.0509
Normal,10,524288,7,93,100,524175,0.0399
Normal,11,524288,7,93,100,524175,0.0539
Normal,12,524288,7,93,100,524175,0.0579
Normal,13,524288,7,93,100,524175,0.0407
Normal,14,524288,7,93,100,524175,0.0385
Normal,15,524288,7,93,100,524175,0.0375
Normal,16,524288,7,93,100,524175,0.0296
Normal,17,524288,7,93,100,524175,0.0291
Normal,18,524288,7,93,100,524175,0.0292
Normal,19,524288,7,93,100,524175,0.0292
Normal,20,524288,7,93,100,524175,0.0595
Normal,21,524288,7,93,100,524175,0.0338
Normal,22,524288,7,93,100,524175,0.0544
Normal,23,524288,7,93,100,524175,0.0497
Normal,24,524288,7,93,100,524175,0.0302
Normal,25,524288,7,93,100,524175,0.0291
Normal,26,524288,7,93,100,524175,0.0348
Normal,27,524288,7,93,100,524175,0.0299
Normal,28,524288,7,93,100,524175,0.052
Normal,29,524288,7,93,100,524175,0.0461
Normal,30,524288,7,93,100,524175,0.041
