Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,524288,7,142,149,524131,0.053
Random,1,524288,7,111,118,524157,0.0397
Random,2,524288,7,167,174,524104,0.049
Random,3,524288,7,109,116,524159,0.0398
Random,4,524288,7,86,93,524183,0.0309
Random,5,524288,7,148,155,524121,0.0363
Random,6,524288,7,141,148,524132,0.0422
Random,7,524288,7,170,177,524103,0.0489
Random,8,524288,7,141,148,524130,0.0378
Random,9,524288,7,133,140,524138,0.0394
Random,10,524288,7,142,149,524129,0.0383
Random,11,524288,7,246,253,524031,0.0522
Random,12,524288,7,162,169,524111,0.0567
Random,13,524288,7,94,101,524175,0.0312
Random,14,524288,7,218,225,524055,0.053
Random,15,524288,7,123,130,524146,0.0419
Random,16,524288,7,85,92,524184,0.0385
Random,17,524288,7,255,262,524018,0.0635
Random,18,524288,7,198,205,524075,0.059
Random,19,524288,7,98,105,524170,0.0576
Random,20,524288,7,199,206,524072,0.0488
Random,21,524288,7,113,120,524156,0.0362
Random,22,524288,7,162,169,524107,0.0459
Random,23,524288,7,141,148,524127,0.0465
Random,24,524288,7,158,165,524111,0.0364
Random,25,524288,7,169,176,524104,0.0526
Random,26,524288,7,84,91,524186,0.0373
Random,27,524288,7,140,147,524131,0.0651
Random,28,524288,7,158,165,524111,0.0345
Random,29,524288,7,141,148,524132,0.0465
Random,30,524288,7,113,120,524156,0.0378
