Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,524288,7,77,84,524191,0.0287
Removed,1,524288,7,77,84,524191,0.0272
Removed,2,524288,7,77,84,524191,0.027
Removed,3,524288,7,77,84,524191,0.0276
Removed,4,524288,7,77,84,524191,0.0269
Removed,5,524288,7,77,84,524191,0.0274
Removed,6,524288,7,77,84,524191,0.0281
Removed,7,524288,7,77,84,524191,0.039
Removed,8,524288,7,77,84,524191,0.0279
Removed,9,524288,7,77,84,524191,0.0273
Removed,10,524288,7,77,84,524191,0.0287
Removed,11,524288,7,77,84,524191,0.0277
Removed,12,524288,7,77,84,524191,0.0281
Removed,13,524288,7,77,84,524191,0.0269
Removed,14,524288,7,77,84,524191,0.0292
Removed,15,524288,7,77,84,524191,0.0316
Removed,16,524288,7,77,84,524191,0.0309
Removed,17,524288,7,77,84,524191,0.0279
Removed,18,524288,7,77,84,524191,0.0285
Removed,19,524288,7,77,84,524191,0.0274
Removed,20,524288,7,77,84,524191,0.0273
Removed,21,524288,7,77,84,524191,0.027
Removed,22,524288,7,77,84,524191,0.029
Removed,23,524288,7,77,84,524191,0.035
Removed,24,524288,7,77,84,524191,0.0295
Removed,25,524288,7,77,84,524191,0.0308
Removed,26,524288,7,77,84,524191,0.0274
Removed,27,524288,7,77,84,524191,0.0271
Removed,28,524288,7,77,84,524191,0.0275
Removed,29,524288,7,77,84,524191,0.0272
Removed,30,524288,7,77,84,524191,0.0272
