Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,4398046511104,0,4,4,4398046511100,0.0109
Removed,1,4398046511104,0,4,4,4398046511100,0.0058
Removed,2,4398046511104,0,4,4,4398046511100,0.0051
Removed,3,4398046511104,0,4,4,4398046511100,0.0059
Removed,4,4398046511104,0,4,4,4398046511100,0.0036
Removed,5,4398046511104,0,4,4,4398046511100,0.0037
Removed,6,4398046511104,0,4,4,4398046511100,0.0046
Removed,7,4398046511104,0,4,4,4398046511100,0.0055
Removed,8,4398046511104,0,4,4,4398046511100,0.0045
Removed,9,4398046511104,0,4,4,4398046511100,0.0051
Removed,10,4398046511104,0,4,4,4398046511100,0.0049
Removed,11,4398046511104,0,4,4,4398046511100,0.0051
Removed,12,4398046511104,0,4,4,4398046511100,0.0039
Removed,13,4398046511104,0,4,4,4398046511100,0.0037
Removed,14,4398046511104,0,4,4,4398046511100,0.005
Removed,15,4398046511104,0,4,4,4398046511100,0.0033
Removed,16,4398046511104,0,4,4,4398046511100,0.0036
Removed,17,4398046511104,0,4,4,4398046511100,0.0039
Removed,18,4398046511104,0,4,4,4398046511100,0.0049
Removed,19,4398046511104,0,4,4,4398046511100,0.0051
Removed,20,4398046511104,0,4,4,4398046511100,0.0049
Removed,21,4398046511104,0,4,4,4398046511100,0.0043
Removed,22,4398046511104,0,4,4,4398046511100,0.0034
Removed,23,4398046511104,0,4,4,4398046511100,0.0048
Removed,24,4398046511104,0,4,4,4398046511100,0.0036
Removed,25,4398046511104,0,4,4,4398046511100,0.0035
Removed,26,4398046511104,0,4,4,4398046511100,0.0043
Removed,27,4398046511104,0,4,4,4398046511100,0.0038
Removed,28,4398046511104,0,4,4,4398046511100,0.0051
Removed,29,4398046511104,0,4,4,4398046511100,0.0043
Removed,30,4398046511104,0,4,4,4398046511100,0.0042
