Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,4398046511104,640,16635,17275,4398046493829,10.3607
Genetic,1,4398046511104,640,3896,4536,4398046506568,2.8025
Genetic,2,4398046511104,160,2359,2519,4398046508585,1.5235
Genetic,3,4398046511104,640,5402,6042,4398046505062,3.9176
Genetic,4,4398046511104,640,4584,5224,4398046505880,3.3038
Genetic,5,4398046511104,640,9792,10432,4398046500672,6.1382
Genetic,6,4398046511104,640,6628,7268,4398046503836,4.5885
Genetic,7,4398046511104,640,6402,7042,4398046504062,4.5005
Genetic,8,4398046511104,640,5170,5810,4398046505294,3.8349
Genetic,9,4398046511104,256,10110,10366,4398046500738,6.7611
Genetic,10,4398046511104,640,9586,10226,4398046500878,6.7247
Genetic,11,4398046511104,640,10614,11254,4398046499850,7.0715
Genetic,12,4398046511104,640,4094,4734,4398046506370,3.0007
Genetic,13,4398046511104,640,11214,11854,4398046499250,7.5666
Genetic,14,4398046511104,256,1814,2070,4398046509034,1.3301
Genetic,15,4398046511104,640,9264,9904,4398046501200,5.8451
Genetic,16,4398046511104,640,9838,10478,4398046500626,6.3707
Genetic,17,4398046511104,640,5276,5916,4398046505188,3.774
Genetic,18,4398046511104,160,4870,5030,4398046506074,3.1655
Genetic,19,4398046511104,256,3599,3855,4398046507249,2.4603
Genetic,20,4398046511104,256,8638,8894,4398046502210,5.3353
Genetic,21,4398046511104,640,7675,8315,4398046502789,5.0399
Genetic,22,4398046511104,256,4308,4564,4398046506540,2.9222
Genetic,23,4398046511104,256,2030,2286,4398046508818,1.3972
Genetic,24,4398046511104,640,7617,8257,4398046502847,5.3547
Genetic,25,4398046511104,640,5510,6150,4398046504954,3.9706
Genetic,26,4398046511104,640,6398,7038,4398046504066,4.3913
Genetic,27,4398046511104,160,1169,1329,4398046509775,0.8109
Genetic,28,4398046511104,640,6177,6817,4398046504287,4.4723
Genetic,29,4398046511104,640,7245,7885,4398046503219,4.8821
Genetic,30,4398046511104,640,7830,8470,4398046502634,5.2838
