Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,4398046511104,128,3650,3778,4398046507326,3.7807
Random,1,4398046511104,0,1,1,4398046511102,0
Random,2,4398046511104,64,1983,2047,4398046509057,2.4015
Random,3,4398046511104,0,796,796,4398046510308,1.2114
Random,4,4398046511104,0,630,630,4398046510474,1.0873
Random,5,4398046511104,16,1721,1737,4398046509367,2.424
Random,6,4398046511104,8,5148,5156,4398046505948,6.396
Random,7,4398046511104,0,673,673,4398046510431,0.7989
Random,8,4398046511104,0,1,1,4398046511102,0
Random,9,4398046511104,160,2222,2382,4398046508722,2.0128
Random,10,4398046511104,64,1060,1124,4398046509980,1.0443
Random,11,4398046511104,0,1,1,4398046511102,0
Random,12,4398046511104,96,7812,7908,4398046503196,5.8797
Random,13,4398046511104,0,1,1,4398046511102,0
Random,14,4398046511104,0,26,26,4398046511078,0.1368
Random,15,4398046511104,0,826,826,4398046510278,0.8499
Random,16,4398046511104,64,783,847,4398046510257,1.1174
Random,17,4398046511104,16,184,200,4398046510904,0.2104
Random,18,4398046511104,0,1873,1873,4398046509231,1.7354
Random,19,4398046511104,0,1,1,4398046511102,0
Random,20,4398046511104,0,2448,2448,4398046508656,3.154
Random,21,4398046511104,0,1,1,4398046511102,0
Random,22,4398046511104,192,1518,1710,4398046509394,1.7099
Random,23,4398046511104,0,1,1,4398046511102,0
Random,24,4398046511104,0,1,1,4398046511102,0
Random,25,4398046511104,64,3020,3084,4398046508020,2.126
Random,26,4398046511104,64,749,813,4398046510291,0.7296
Random,27,4398046511104,0,1389,1389,4398046509715,2.0625
Random,28,4398046511104,8,1110,1118,4398046509986,1.7345
Random,29,4398046511104,48,3532,3580,4398046507524,3.3574
Random,30,4398046511104,96,2888,2984,4398046508120,1.9885
