Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,4398046511104,48,5604,5652,4398046505452,9.0581
Normal,1,4398046511104,48,5604,5652,4398046505452,9.5364
Normal,2,4398046511104,48,5604,5652,4398046505452,9.5493
Normal,3,4398046511104,48,5604,5652,4398046505452,9.6612
Normal,4,4398046511104,48,5604,5652,4398046505452,8.9037
Normal,5,4398046511104,48,5604,5652,4398046505452,8.6942
Normal,6,4398046511104,48,5604,5652,4398046505452,8.5173
Normal,7,4398046511104,48,5604,5652,4398046505452,9.244
Normal,8,4398046511104,48,5604,5652,4398046505452,9.5603
Normal,9,4398046511104,48,5604,5652,4398046505452,9.4674
Normal,10,4398046511104,48,5604,5652,4398046505452,8.4606
Normal,11,4398046511104,48,5604,5652,4398046505452,9.4902
Normal,12,4398046511104,48,5604,5652,4398046505452,9.5807
Normal,13,4398046511104,48,5604,5652,4398046505452,9.0891
Normal,14,4398046511104,48,5604,5652,4398046505452,9.5331
Normal,15,4398046511104,48,5604,5652,4398046505452,9.5739
Normal,16,4398046511104,48,5604,5652,4398046505452,8.6734
Normal,17,4398046511104,48,5604,5652,4398046505452,9.0825
Normal,18,4398046511104,48,5604,5652,4398046505452,9.6677
Normal,19,4398046511104,48,5604,5652,4398046505452,9.5723
Normal,20,4398046511104,48,5604,5652,4398046505452,9.0128
Normal,21,4398046511104,48,5604,5652,4398046505452,9.1544
Normal,22,4398046511104,48,5604,5652,4398046505452,8.7161
Normal,23,4398046511104,48,5604,5652,4398046505452,9.2355
Normal,24,4398046511104,48,5604,5652,4398046505452,8.9768
Normal,25,4398046511104,48,5604,5652,4398046505452,8.5485
Normal,26,4398046511104,48,5604,5652,4398046505452,9.8224
Normal,27,4398046511104,48,5604,5652,4398046505452,8.6033
Normal,28,4398046511104,48,5604,5652,4398046505452,9.6147
Normal,29,4398046511104,48,5604,5652,4398046505452,9.3895
Normal,30,4398046511104,48,5604,5652,4398046505452,9.1069
