Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,70368744177664,656,17449,18105,70368744159545,10.3607
Genetic,1,70368744177664,656,4118,4774,70368744172876,2.8025
Genetic,2,70368744177664,656,12098,12754,70368744164896,7.0292
Genetic,3,70368744177664,656,5635,6291,70368744171359,3.9176
Genetic,4,70368744177664,656,5014,5670,70368744171980,3.3038
Genetic,5,70368744177664,656,10140,10796,70368744166854,6.1382
Genetic,6,70368744177664,656,9998,10654,70368744166996,4.5885
Genetic,7,70368744177664,656,6774,7430,70368744170220,4.5005
Genetic,8,70368744177664,656,16036,16692,70368744160958,8.4375
Genetic,9,70368744177664,656,25226,25882,70368744151768,11.2459
Genetic,10,70368744177664,656,10161,10817,70368744166833,6.7247
Genetic,11,70368744177664,656,10823,11479,70368744166171,7.0715
Genetic,12,70368744177664,656,4462,5118,70368744172532,3.0007
Genetic,13,70368744177664,656,11772,12428,70368744165222,7.5666
Genetic,14,70368744177664,656,3981,4637,70368744173013,1.7712
Genetic,15,70368744177664,656,9624,10280,70368744167370,5.8451
Genetic,16,70368744177664,656,10429,11085,70368744166565,6.3707
Genetic,17,70368744177664,656,6478,7134,70368744170516,3.774
Genetic,18,70368744177664,656,17757,18413,70368744159237,9.244
Genetic,19,70368744177664,656,8574,9230,70368744168420,3.7988
Genetic,20,70368744177664,656,21499,22155,70368744155495,8.6246
Genetic,21,70368744177664,656,11178,11834,70368744165816,5.0399
Genetic,22,70368744177664,656,11406,12062,70368744165588,5.2385
Genetic,23,70368744177664,656,5041,5697,70368744171953,2.2473
Genetic,24,70368744177664,656,14144,14800,70368744162850,5.3547
Genetic,25,70368744177664,656,14664,15320,70368744162330,6.8056
Genetic,26,70368744177664,656,7081,7737,70368744169913,4.3913
Genetic,27,70368744177664,656,4228,4884,70368744172766,2.4368
Genetic,28,70368744177664,656,10936,11592,70368744166058,4.4723
Genetic,29,70368744177664,656,7776,8432,70368744169218,4.8821
Genetic,30,70368744177664,656,30118,30774,70368744146876,15.7081
