Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,70368744177664,656,113536,114192,70368744063472,13.7962
Normal,1,70368744177664,656,113536,114192,70368744063472,13.6531
Normal,2,70368744177664,656,113536,114192,70368744063472,13.3454
Normal,3,70368744177664,656,113536,114192,70368744063472,13.4041
Normal,4,70368744177664,656,113536,114192,70368744063472,13.5773
Normal,5,70368744177664,656,113536,114192,70368744063472,13.6715
Normal,6,70368744177664,656,113536,114192,70368744063472,13.2409
Normal,7,70368744177664,656,113536,114192,70368744063472,13.3079
Normal,8,70368744177664,656,113536,114192,70368744063472,13.7004
Normal,9,70368744177664,656,113536,114192,70368744063472,13.4833
Normal,10,70368744177664,656,113536,114192,70368744063472,13.796
Normal,11,70368744177664,656,113536,114192,70368744063472,13.4493
Normal,12,70368744177664,656,113536,114192,70368744063472,13.7958
Normal,13,70368744177664,656,113536,114192,70368744063472,13.5267
Normal,14,70368744177664,656,113536,114192,70368744063472,13.184
Normal,15,70368744177664,656,113536,114192,70368744063472,13.8378
Normal,16,70368744177664,656,113536,114192,70368744063472,13.4604
Normal,17,70368744177664,656,113536,114192,70368744063472,13.4092
Normal,18,70368744177664,656,113536,114192,70368744063472,13.6644
Normal,19,70368744177664,656,113536,114192,70368744063472,13.7355
Normal,20,70368744177664,656,113536,114192,70368744063472,13.6712
Normal,21,70368744177664,656,113536,114192,70368744063472,13.6785
Normal,22,70368744177664,656,113536,114192,70368744063472,13.3246
Normal,23,70368744177664,656,113536,114192,70368744063472,13.9858
Normal,24,70368744177664,656,113536,114192,70368744063472,14.0518
Normal,25,70368744177664,656,113536,114192,70368744063472,13.4633
Normal,26,70368744177664,656,113536,114192,70368744063472,13.7636
Normal,27,70368744177664,656,113536,114192,70368744063472,13.4931
Normal,28,70368744177664,656,113536,114192,70368744063472,13.1712
Normal,29,70368744177664,656,113536,114192,70368744063472,13.8492
Normal,30,70368744177664,656,113536,114192,70368744063472,13.0754
