Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,70368744177664,656,26488,27144,70368744150512,3.7807
Random,1,70368744177664,656,12990,13646,70368744164014,2.7869
Random,2,70368744177664,656,35320,35976,70368744141688,4.6711
Random,3,70368744177664,656,30360,31016,70368744146648,6.4794
Random,4,70368744177664,656,17780,18436,70368744159228,2.3955
Random,5,70368744177664,656,54728,55384,70368744122280,7.3194
Random,6,70368744177664,656,60280,60936,70368744116728,7.008
Random,7,70368744177664,656,10756,11412,70368744166252,1.6314
Random,8,70368744177664,656,68376,69032,70368744108624,18.7769
Random,9,70368744177664,656,18124,18780,70368744158884,2.1936
Random,10,70368744177664,656,12468,13124,70368744164540,1.7929
Random,11,70368744177664,656,50376,51032,70368744126628,6.838
Random,12,70368744177664,656,52612,53268,70368744124396,6.7375
Random,13,70368744177664,656,26776,27432,70368744150224,5.0903
Random,14,70368744177664,656,10530,11186,70368744166478,2.7924
Random,15,70368744177664,656,23496,24152,70368744153504,4.5429
Random,16,70368744177664,656,17176,17832,70368744159832,2.6426
Random,17,70368744177664,656,12580,13236,70368744164420,2.8329
Random,18,70368744177664,656,21232,21888,70368744155768,3.7304
Random,19,70368744177664,656,30352,31008,70368744146648,5.7082
Random,20,70368744177664,656,58872,59528,70368744118136,9.3772
Random,21,70368744177664,656,41609,42265,70368744135389,8.454
Random,22,70368744177664,656,12824,13480,70368744164184,1.8995
Random,23,70368744177664,656,14224,14880,70368744162776,3.261
Random,24,70368744177664,656,10062,10718,70368744166938,2.9744
Random,25,70368744177664,656,56114,56770,70368744120886,13.2708
Random,26,70368744177664,656,8036,8692,70368744168972,1.2819
Random,27,70368744177664,656,35472,36128,70368744141536,4.4456
Random,28,70368744177664,656,30240,30896,70368744146768,4.4323
Random,29,70368744177664,656,42048,42704,70368744134960,4.9323
Random,30,70368744177664,656,28444,29100,70368744148556,4.6262
