Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,70368744177664,656,64510,65166,70368744112488,11.9957
Removed,1,70368744177664,656,64510,65166,70368744112488,11.7664
Removed,2,70368744177664,656,64510,65166,70368744112488,11.6229
Removed,3,70368744177664,656,64510,65166,70368744112488,11.7653
Removed,4,70368744177664,656,64510,65166,70368744112488,11.6559
Removed,5,70368744177664,656,64510,65166,70368744112488,11.7539
Removed,6,70368744177664,656,64510,65166,70368744112488,11.8448
Removed,7,70368744177664,656,64510,65166,70368744112488,11.702
Removed,8,70368744177664,656,64510,65166,70368744112488,11.7998
Removed,9,70368744177664,656,64510,65166,70368744112488,11.7631
Removed,10,70368744177664,656,64510,65166,70368744112488,11.8875
Removed,11,70368744177664,656,64510,65166,70368744112488,11.6577
Removed,12,70368744177664,656,64510,65166,70368744112488,11.8414
Removed,13,70368744177664,656,64510,65166,70368744112488,11.6696
Removed,14,70368744177664,656,64510,65166,70368744112488,11.6663
Removed,15,70368744177664,656,64510,65166,70368744112488,11.6824
Removed,16,70368744177664,656,64510,65166,70368744112488,11.856
Removed,17,70368744177664,656,64510,65166,70368744112488,11.7009
Removed,18,70368744177664,656,64510,65166,70368744112488,11.7076
Removed,19,70368744177664,656,64510,65166,70368744112488,11.7942
Removed,20,70368744177664,656,64510,65166,70368744112488,11.6152
Removed,21,70368744177664,656,64510,65166,70368744112488,11.8135
Removed,22,70368744177664,656,64510,65166,70368744112488,11.8142
Removed,23,70368744177664,656,64510,65166,70368744112488,11.6409
Removed,24,70368744177664,656,64510,65166,70368744112488,11.5617
Removed,25,70368744177664,656,64510,65166,70368744112488,11.7371
Removed,26,70368744177664,656,64510,65166,70368744112488,11.5844
Removed,27,70368744177664,656,64510,65166,70368744112488,11.6633
Removed,28,70368744177664,656,64510,65166,70368744112488,11.6336
Removed,29,70368744177664,656,64510,65166,70368744112488,11.7998
Removed,30,70368744177664,656,64510,65166,70368744112488,11.7829
