Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,128,128,0,128,0,0.1112
Random,1,128,128,0,128,0,0.1126
Random,2,128,128,0,128,0,0.1093
Random,3,128,128,0,128,0,0.1127
Random,4,128,128,0,128,0,0.1098
Random,5,128,128,0,128,0,0.1076
Random,6,128,128,0,128,0,0.1111
Random,7,128,128,0,128,0,0.113
Random,8,128,128,0,128,0,0.1091
Random,9,128,128,0,128,0,0.1105
Random,10,128,128,0,128,0,0.1101
Random,11,128,128,0,128,0,0.114
Random,12,128,128,0,128,0,0.1181
Random,13,128,128,0,128,0,0.1133
Random,14,128,128,0,128,0,0.1118
Random,15,128,128,0,128,0,0.1104
Random,16,128,128,0,128,0,0.1159
Random,17,128,128,0,128,0,0.1095
Random,18,128,128,0,128,0,0.1087
Random,19,128,128,0,128,0,0.1219
Random,20,128,128,0,128,0,0.11
Random,21,128,128,0,128,0,0.1119
Random,22,128,128,0,128,0,0.118
Random,23,128,128,0,128,0,0.1151
Random,24,128,128,0,128,0,0.1121
Random,25,128,128,0,128,0,0.1117
Random,26,128,128,0,128,0,0.1113
Random,27,128,128,0,128,0,0.1085
Random,28,128,128,0,128,0,0.1137
Random,29,128,128,0,128,0,0.1147
Random,30,128,128,0,128,0,0.111
