Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,128,128,0,128,0,0.1129
Removed,1,128,128,0,128,0,0.1129
Removed,2,128,128,0,128,0,0.121
Removed,3,128,128,0,128,0,0.1131
Removed,4,128,128,0,128,0,0.1134
Removed,5,128,128,0,128,0,0.1123
Removed,6,128,128,0,128,0,0.1097
Removed,7,128,128,0,128,0,0.1125
Removed,8,128,128,0,128,0,0.1058
Removed,9,128,128,0,128,0,0.1088
Removed,10,128,128,0,128,0,0.1112
Removed,11,128,128,0,128,0,0.106
Removed,12,128,128,0,128,0,0.1177
Removed,13,128,128,0,128,0,0.1122
Removed,14,128,128,0,128,0,0.1127
Removed,15,128,128,0,128,0,0.1141
Removed,16,128,128,0,128,0,0.1095
Removed,17,128,128,0,128,0,0.1087
Removed,18,128,128,0,128,0,0.1153
Removed,19,128,128,0,128,0,0.1123
Removed,20,128,128,0,128,0,0.1088
Removed,21,128,128,0,128,0,0.1121
Removed,22,128,128,0,128,0,0.1109
Removed,23,128,128,0,128,0,0.1128
Removed,24,128,128,0,128,0,0.112
Removed,25,128,128,0,128,0,0.1116
Removed,26,128,128,0,128,0,0.1131
Removed,27,128,128,0,128,0,0.1097
Removed,28,128,128,0,128,0,0.1121
Removed,29,128,128,0,128,0,0.1157
Removed,30,128,128,0,128,0,0.1247
