Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,128,128,0,128,0,0.1139
Genetic,1,128,128,0,128,0,0.1193
Genetic,2,128,128,0,128,0,0.1122
Genetic,3,128,128,0,128,0,0.1258
Genetic,4,128,128,0,128,0,0.1138
Genetic,5,128,128,0,128,0,0.114
Genetic,6,128,128,0,128,0,0.1193
Genetic,7,128,128,0,128,0,0.1149
Genetic,8,128,128,0,128,0,0.1134
Genetic,9,128,128,0,128,0,0.114
Genetic,10,128,128,0,128,0,0.1129
Genetic,11,128,128,0,128,0,0.1163
Genetic,12,128,128,0,128,0,0.1149
Genetic,13,128,128,0,128,0,0.1164
Genetic,14,128,128,0,128,0,0.1135
Genetic,15,128,128,0,128,0,0.1153
Genetic,16,128,128,0,128,0,0.1156
Genetic,17,128,128,0,128,0,0.1157
Genetic,18,128,128,0,128,0,0.1141
Genetic,19,128,128,0,128,0,0.1141
Genetic,20,128,128,0,128,0,0.1206
Genetic,21,128,128,0,128,0,0.1189
Genetic,22,128,128,0,128,0,0.1166
Genetic,23,128,128,0,128,0,0.114
Genetic,24,128,128,0,128,0,0.1157
Genetic,25,128,128,0,128,0,0.1193
Genetic,26,128,128,0,128,0,0.1136
Genetic,27,128,128,0,128,0,0.1147
Genetic,28,128,128,0,128,0,0.115
Genetic,29,128,128,0,128,0,0.1123
Genetic,30,128,128,0,128,0,0.1144
