Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,128,128,0,128,0,0.1082
Normal,1,128,128,0,128,0,0.1101
Normal,2,128,128,0,128,0,0.1095
Normal,3,128,128,0,128,0,0.1083
Normal,4,128,128,0,128,0,0.1132
Normal,5,128,128,0,128,0,0.1093
Normal,6,128,128,0,128,0,0.1118
Normal,7,128,128,0,128,0,0.1115
Normal,8,128,128,0,128,0,0.1115
Normal,9,128,128,0,128,0,0.1068
Normal,10,128,128,0,128,0,0.1132
Normal,11,128,128,0,128,0,0.1115
Normal,12,128,128,0,128,0,0.1116
Normal,13,128,128,0,128,0,0.1106
Normal,14,128,128,0,128,0,0.11
Normal,15,128,128,0,128,0,0.1105
Normal,16,128,128,0,128,0,0.1095
Normal,17,128,128,0,128,0,0.1101
Normal,18,128,128,0,128,0,0.1088
Normal,19,128,128,0,128,0,0.1116
Normal,20,128,128,0,128,0,0.1103
Normal,21,128,128,0,128,0,0.1117
Normal,22,128,128,0,128,0,0.1079
Normal,23,128,128,0,128,0,0.1093
Normal,24,128,128,0,128,0,0.12
Normal,25,128,128,0,128,0,0.1104
Normal,26,128,128,0,128,0,0.1131
Normal,27,128,128,0,128,0,0.114
Normal,28,128,128,0,128,0,0.1139
Normal,29,128,128,0,128,0,0.1108
Normal,30,128,128,0,128,0,0.1159
