Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,19342813113834066795298816,874,347426,348300,19342813113834066794950516,731.6454
Random,0,19342813113834066795298816,83796,1251896,1335692,19342813113834066793963124,3193.2551
Random,0,19342813113834066795298816,86786,2089449,2176235,19342813113834066793122581,4334.3573
Random,0,19342813113834066795298816,47460,1528678,1576138,19342813113834066793722678,2977.1482
Random,0,19342813113834066795298816,0,1,1,19342813113834066795298814,0
Random,0,19342813113834066795298816,3600,162036,165636,19342813113834066795133180,313.543
Random,0,19342813113834066795298816,0,594388,594388,19342813113834066794704428,1323.3029
Random,0,19342813113834066795298816,12772,718426,731198,19342813113834066794567618,1714.246
Random,0,19342813113834066795298816,8470,608979,617449,19342813113834066794681367,1281.2234
Random,0,19342813113834066795298816,42956,1758098,1801054,19342813113834066793497762,3756.8521
Random,0,19342813113834066795298816,85116,4190072,4275188,19342813113834066791023628,8852.3621
