Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2580.0704
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2222.3193
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2082.8684
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,1971.5776
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2086.4788
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2262.3227
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2450.8858
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2210.958
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2214.5788
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2183.0438
Genetic,0,19342813113834066795298816,38160,919044,957204,19342813113834066794341612,2211.7752
