Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,408.6338
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,196.2587
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,199.2228
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,169.6345
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,210.848
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,185.1108
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,202.374
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,203.6175
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,192.1045
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,210.5599
Normal,0,19342813113834066795298816,3248,104048,107296,19342813113834066795191520,196.5368
