Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
0,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7057.2248
1,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,6186.3534
2,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7031.1844
3,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7279.8177
4,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7449.7758
5,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7249.7858
6,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7150.2507
7,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7170.5189
8,77371252455336267181195264,94770,4532428,4627198,77371252455336267176568064,7244.1571
9,58028439341502200385896448,38160,919046,957206,58028439341502200384939240,2183.0438
10,58028439341502200385896448,38160,919046,957206,58028439341502200384939240,2211.7752
