Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
0,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3754.453
1,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3207.6004
2,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3467.0261
3,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,2919.5517
4,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3137.5548
5,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3399.1991
6,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3598.468
7,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3335.4694
8,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3338.384
9,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3268.5479
10,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354078,3430.5907
