Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
0,77371252455336267181195264,20170,2712045,2732215,77371252455336267178463049,2636.2664
1,77371252455336267181195264,91780,2008091,2099871,77371252455336267179095391,3193.2551
2,77371252455336267181195264,97348,2724968,2822316,77371252455336267178372948,4334.3573
3,77371252455336267181195264,94182,2803866,2898048,77371252455336267178297215,2977.1482
4,77371252455336267181195264,8496,882342,890838,77371252455336267180304425,904.1678
5,77371252455336267181195264,26002,1557446,1583448,77371252455336267179611816,1070.2425
6,77371252455336267181195264,46466,2139124,2185590,77371252455336267179009674,1703.4523
7,77371252455336267181195264,26090,3179576,3205666,77371252455336267177989598,2027.6541
8,77371252455336267181195264,131604,5216503,5348107,77371252455336267175847157,3836.3091
9,77371252455336267181195264,210010,11145132,11355142,77371252455336267169840122,10813.855
10,58028439341502200385896448,214722,8799805,9014527,58028439341502200376881921,8852.3621
