Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
0,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2613.9172
1,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2747.2026
2,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2749.1391
3,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2429.594
4,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2571.501
5,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2669.3661
6,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2645.3913
7,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2582.633
8,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2576.2815
9,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2576.2946
10,77371252455336267181195264,94770,1189646,1284416,77371252455336267179910846,2597.8256
