Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,32,14,8,22,10,0.004
Genetic,1,32,14,10,24,8,0.0044
Genetic,2,32,14,10,24,8,0.0042
Genetic,3,32,14,6,20,12,0.0039
Genetic,4,32,14,6,20,12,0.004
Genetic,5,32,14,16,30,2,0.005
Genetic,6,32,14,6,20,12,0.0039
Genetic,7,32,14,6,20,12,0.0039
Genetic,8,32,14,6,20,12,0.004
Genetic,9,32,14,10,24,8,0.0044
Genetic,10,32,14,18,32,0,0.0052
Genetic,11,32,14,10,24,8,0.0042
Genetic,12,32,14,16,30,2,0.005
Genetic,13,32,14,4,18,14,0.0037
Genetic,14,32,14,16,30,2,0.005
Genetic,15,32,14,6,20,12,0.0039
Genetic,16,32,14,18,32,0,0.0053
Genetic,17,32,14,6,20,12,0.0039
Genetic,18,32,14,10,24,8,0.0044
Genetic,19,32,14,16,30,2,0.0051
Genetic,20,32,14,15,29,3,0.0049
Genetic,21,32,14,3,17,15,0.0036
Genetic,22,32,14,16,30,2,0.0049
Genetic,23,32,14,6,20,12,0.004
Genetic,24,32,14,15,29,3,0.0048
Genetic,25,32,14,16,30,2,0.0051
Genetic,26,32,14,10,24,8,0.0043
Genetic,27,32,14,9,23,9,0.0042
Genetic,28,32,14,10,24,8,0.0044
Genetic,29,32,14,9,23,9,0.0041
Genetic,30,32,14,16,30,2,0.0049
