Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,32,14,10,24,8,0.0042
Normal,1,32,14,10,24,8,0.004
Normal,2,32,14,10,24,8,0.0039
Normal,3,32,14,10,24,8,0.004
Normal,4,32,14,10,24,8,0.0038
Normal,5,32,14,10,24,8,0.0038
Normal,6,32,14,10,24,8,0.0039
Normal,7,32,14,10,24,8,0.0041
Normal,8,32,14,10,24,8,0.0038
Normal,9,32,14,10,24,8,0.0038
Normal,10,32,14,10,24,8,0.0039
Normal,11,32,14,10,24,8,0.004
Normal,12,32,14,10,24,8,0.0042
Normal,13,32,14,10,24,8,0.0039
Normal,14,32,14,10,24,8,0.0038
Normal,15,32,14,10,24,8,0.0038
Normal,16,32,14,10,24,8,0.0038
Normal,17,32,14,10,24,8,0.0038
Normal,18,32,14,10,24,8,0.004
Normal,19,32,14,10,24,8,0.0039
Normal,20,32,14,10,24,8,0.0039
Normal,21,32,14,10,24,8,0.0038
Normal,22,32,14,10,24,8,0.0038
Normal,23,32,14,10,24,8,0.0038
Normal,24,32,14,10,24,8,0.004
Normal,25,32,14,10,24,8,0.0043
Normal,26,32,14,10,24,8,0.004
Normal,27,32,14,10,24,8,0.0038
Normal,28,32,14,10,24,8,0.004
Normal,29,32,14,10,24,8,0.0039
Normal,30,32,14,10,24,8,0.0039
