Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,32,14,10,24,8,0.0041
Random,1,32,14,16,30,2,0.0045
Random,2,32,14,16,30,2,0.0046
Random,3,32,14,15,29,3,0.0046
Random,4,32,14,10,24,8,0.0038
Random,5,32,14,8,22,10,0.006
Random,6,32,14,3,17,15,0.003
Random,7,32,14,8,22,10,0.0037
Random,8,32,14,10,24,8,0.0039
Random,9,32,14,10,24,8,0.0041
Random,10,32,14,6,20,12,0.0036
Random,11,32,14,10,24,8,0.004
Random,12,32,14,18,32,0,0.005
Random,13,32,14,18,32,0,0.0049
Random,14,32,14,18,32,0,0.0048
Random,15,32,14,16,30,2,0.0046
Random,16,32,14,5,19,13,0.0034
Random,17,32,14,10,24,8,0.0041
Random,18,32,14,6,20,12,0.0034
Random,19,32,14,10,24,8,0.004
Random,20,32,14,16,30,2,0.0046
Random,21,32,14,4,18,14,0.0032
Random,22,32,14,16,30,2,0.0045
Random,23,32,14,10,24,8,0.0038
Random,24,32,14,10,24,8,0.0038
Random,25,32,14,6,20,12,0.0044
Random,26,32,14,18,32,0,0.0048
Random,27,32,14,3,17,15,0.0031
Random,28,32,14,16,30,2,0.0045
Random,29,32,14,16,30,2,0.0047
Random,30,32,14,10,24,8,0.0039
