Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,32,14,6,20,12,0.0034
Removed,1,32,14,6,20,12,0.0036
Removed,2,32,14,6,20,12,0.0057
Removed,3,32,14,6,20,12,0.0036
Removed,4,32,14,6,20,12,0.0034
Removed,5,32,14,6,20,12,0.0035
Removed,6,32,14,6,20,12,0.0035
Removed,7,32,14,6,20,12,0.0035
Removed,8,32,14,6,20,12,0.0034
Removed,9,32,14,6,20,12,0.0035
Removed,10,32,14,6,20,12,0.0035
Removed,11,32,14,6,20,12,0.0033
Removed,12,32,14,6,20,12,0.0048
Removed,13,32,14,6,20,12,0.0035
Removed,14,32,14,6,20,12,0.0034
Removed,15,32,14,6,20,12,0.0035
Removed,16,32,14,6,20,12,0.0035
Removed,17,32,14,6,20,12,0.0035
Removed,18,32,14,6,20,12,0.0034
Removed,19,32,14,6,20,12,0.0035
Removed,20,32,14,6,20,12,0.0034
Removed,21,32,14,6,20,12,0.0034
Removed,22,32,14,6,20,12,0.0034
Removed,23,32,14,6,20,12,0.0035
Removed,24,32,14,6,20,12,0.0034
Removed,25,32,14,6,20,12,0.0035
Removed,26,32,14,6,20,12,0.0036
Removed,27,32,14,6,20,12,0.0033
Removed,28,32,14,6,20,12,0.0035
Removed,29,32,14,6,20,12,0.0034
Removed,30,32,14,6,20,12,0.0035
