Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,64,28,24,52,12,0.0076
Genetic,1,64,28,26,54,10,0.0056
Genetic,2,64,28,26,54,10,0.0065
Genetic,3,64,28,22,50,14,0.0063
Genetic,4,64,28,22,50,14,0.0052
Genetic,5,64,28,32,60,4,0.0063
Genetic,6,64,28,22,50,14,0.0058
Genetic,7,64,28,22,50,14,0.0059
Genetic,8,64,28,22,50,14,0.0051
Genetic,9,64,28,26,54,10,0.0072
Genetic,10,64,28,34,62,2,0.006
Genetic,11,64,28,26,54,10,0.0056
Genetic,12,64,28,32,60,4,0.0058
Genetic,13,64,28,20,48,16,0.0053
Genetic,14,64,28,32,60,4,0.0054
Genetic,15,64,28,22,50,14,0.0058
Genetic,16,64,28,34,62,2,0.0067
Genetic,17,64,28,22,50,14,0.0055
Genetic,18,64,28,26,54,10,0.0064
Genetic,19,64,28,32,60,4,0.0065
Genetic,20,64,28,31,59,5,0.0075
Genetic,21,64,28,19,47,17,0.0052
Genetic,22,64,28,32,60,4,0.0053
Genetic,23,64,28,22,50,14,0.0061
Genetic,24,64,28,31,59,5,0.0077
Genetic,25,64,28,32,60,4,0.0099
Genetic,26,64,28,26,54,10,0.0058
Genetic,27,64,28,25,53,11,0.0051
Genetic,28,64,28,26,54,10,0.0059
Genetic,29,64,28,25,53,11,0.0055
Genetic,30,32,14,16,30,2,0.0049
