Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,188592427859882151254163520,105689,3097473,3203162,188592427859882151250960334,2445.0939
Normal,1,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2445.3725
Normal,2,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2419.9826
Normal,3,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2431.9543
Normal,4,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2449.577
Normal,5,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2428.3675
Normal,6,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2439.2183
Normal,7,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2452.6285
Normal,8,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2435.0467
Normal,9,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2444.1577
Normal,10,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2445.1253
Normal,11,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2469.2334
Normal,12,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2442.545
Normal,13,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2439.617
Normal,14,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2448.5992
Normal,15,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2436.1488
Normal,16,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2423.7331
Normal,17,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2450.0319
Normal,18,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2435.0735
Normal,19,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2433.6615
Normal,20,77371252455336267181195328,94798,2746436,2841234,77371252455336267178354086,2434.788
Normal,21,67699845898419233783545920,10727,342136,352863,67699845898419233783193049,227.7233
Normal,22,64,28,20,48,16,0.0056
Normal,23,64,28,20,48,16,0.0042
Normal,24,64,28,20,48,16,0.0049
Normal,25,64,28,20,48,16,0.0043
Normal,26,64,28,20,48,16,0.0042
Normal,27,64,28,20,48,16,0.0041
Normal,28,64,28,20,48,16,0.0051
Normal,29,64,28,20,48,16,0.0052
Normal,30,32,14,10,24,8,0.0039
