Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,64,28,20,48,16,0.0047
Random,1,64,28,22,50,14,0.0045
Random,2,64,28,25,53,11,0.0046
Random,3,64,28,19,47,17,0.0046
Random,4,64,28,20,48,16,0.0047
Random,5,64,28,24,52,12,0.006
Random,6,64,28,19,47,17,0.0058
Random,7,64,28,24,52,12,0.0057
Random,8,64,28,20,48,16,0.0047
Random,9,64,28,16,44,20,0.0045
Random,10,64,28,12,40,24,0.0039
Random,11,64,28,16,44,20,0.004
Random,12,64,28,36,64,0,0.0059
Random,13,64,28,26,54,10,0.0049
Random,14,64,28,33,61,3,0.0051
Random,15,64,28,32,60,4,0.0052
Random,16,64,28,9,37,27,0.0039
Random,17,64,28,16,44,20,0.0069
Random,18,64,28,22,50,14,0.0055
Random,19,64,28,28,56,8,0.0055
Random,20,64,28,20,48,16,0.0046
Random,21,64,28,20,48,16,0.0053
Random,22,64,28,22,50,14,0.0045
Random,23,64,28,28,56,8,0.0058
Random,24,64,28,26,54,10,0.0062
Random,25,64,28,24,52,12,0.0053
Random,26,64,28,28,56,8,0.0048
Random,27,64,28,18,46,18,0.0052
Random,28,64,28,34,62,2,0.0054
Random,29,64,28,26,54,10,0.0057
Random,30,32,14,10,24,8,0.0039
