Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,64,28,12,40,24,0.004
Removed,1,64,28,12,40,24,0.0046
Removed,2,64,28,12,40,24,0.0057
Removed,3,64,28,12,40,24,0.0041
Removed,4,64,28,12,40,24,0.0048
Removed,5,64,28,12,40,24,0.0042
Removed,6,64,28,12,40,24,0.0038
Removed,7,64,28,12,40,24,0.0039
Removed,8,64,28,12,40,24,0.0042
Removed,9,64,28,12,40,24,0.004
Removed,10,64,28,12,40,24,0.0037
Removed,11,64,28,12,40,24,0.0037
Removed,12,64,28,12,40,24,0.0048
Removed,13,64,28,12,40,24,0.0039
Removed,14,64,28,12,40,24,0.0049
Removed,15,64,28,12,40,24,0.0039
Removed,16,64,28,12,40,24,0.0045
Removed,17,64,28,12,40,24,0.0036
Removed,18,64,28,12,40,24,0.0037
Removed,19,64,28,12,40,24,0.0041
Removed,20,64,28,12,40,24,0.0042
Removed,21,64,28,12,40,24,0.0037
Removed,22,64,28,12,40,24,0.0049
Removed,23,64,28,12,40,24,0.0038
Removed,24,64,28,12,40,24,0.0046
Removed,25,64,28,12,40,24,0.0038
Removed,26,64,28,12,40,24,0.0038
Removed,27,64,28,12,40,24,0.0038
Removed,28,64,28,12,40,24,0.0049
Removed,29,64,28,12,40,24,0.004
Removed,30,32,14,6,20,12,0.0035
