Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,1,4835703278458516698824704,1216,2747746,2748962,4835703278458516696075742,5681.4821
Random,2,4835703278458516698824704,16948,798821,815769,4835703278458516698008935,1717.3095
Random,3,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,4,4835703278458516698824704,448,48374,48822,4835703278458516698775882,164.1575
Random,5,4835703278458516698824704,2048,79730,81778,4835703278458516698742926,209.2976
Random,6,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,7,4835703278458516698824704,2096,1211593,1213689,4835703278458516697611015,2965.4926
Random,8,4835703278458516698824704,1380,1024720,1026100,4835703278458516697798604,2693.2626
Random,9,4835703278458516698824704,336,13587,13923,4835703278458516698810781,50.7032
Random,10,4835703278458516698824704,0,12305,12305,4835703278458516698812399,46.5077
Random,11,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,12,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,13,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,14,4835703278458516698824704,50652,930576,981228,4835703278458516697843476,1653.9939
Random,15,4835703278458516698824704,664,101706,102370,4835703278458516698722334,251.7193
Random,16,4835703278458516698824704,0,3251,3251,4835703278458516698821453,8.2101
Random,17,4835703278458516698824704,48326,1162188,1210514,4835703278458516697614190,2049.6914
Random,18,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,19,4835703278458516698824704,3264,298013,301277,4835703278458516698523427,1454.463
Random,20,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,21,4835703278458516698824704,98,30730,30828,4835703278458516698793876,132.9235
Random,22,4835703278458516698824704,504,152868,153372,4835703278458516698671332,542.0692
Random,23,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,24,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Random,25,4835703278458516698824704,4024,85041,89065,4835703278458516698735639,324.6975
Random,26,4835703278458516698824704,47856,826669,874525,4835703278458516697950179,1610.4605
Random,27,4835703278458516698824704,2080,114281,116361,4835703278458516698708343,262.4403
Random,28,4835703278458516698824704,38304,2287376,2325680,4835703278458516696499024,4543.9377
Random,29,4835703278458516698824704,1344,92498,93842,4835703278458516698730862,172.0101
Random,30,4835703278458516698824704,1944,268080,270024,4835703278458516698554680,917.6814
