Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,4835703278458516698824704,192,8913,9105,4835703278458516698815599,13.0807
Normal,1,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.7575
Normal,2,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.6506
Normal,3,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.8018
Normal,4,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.5342
Normal,5,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.5856
Normal,6,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.7907
Normal,7,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.4995
Normal,8,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.5902
Normal,9,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.6872
Normal,10,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.6814
Normal,11,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.5748
Normal,12,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.5418
Normal,13,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.8691
Normal,14,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.2698
Normal,15,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.3884
Normal,16,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.2896
Normal,17,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.3676
Normal,18,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.7991
Normal,19,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.6774
Normal,20,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.6145
Normal,21,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.7096
Normal,22,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.3604
Normal,23,4835703278458516698824704,192,8913,9105,4835703278458516698815599,12.7388
Normal,24,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.292
Normal,25,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.4355
Normal,26,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.2444
Normal,27,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.0703
Normal,28,4835703278458516698824704,192,8913,9105,4835703278458516698815599,13.0038
Normal,29,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.418
Normal,30,4835703278458516698824704,192,8913,9105,4835703278458516698815599,21.2854
