Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.1615
Removed,1,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,165.9944
Removed,2,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.4353
Removed,3,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.1959
Removed,4,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.5921
Removed,5,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,168.814
Removed,6,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.5878
Removed,7,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,165.5355
Removed,8,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.3751
Removed,9,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,165.831
Removed,10,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.2167
Removed,11,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.9233
Removed,12,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.428
Removed,13,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.6334
Removed,14,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,165.5054
Removed,15,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,165.4119
Removed,16,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.9871
Removed,17,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,168.1806
Removed,18,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.067
Removed,19,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.6735
Removed,20,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.6763
Removed,21,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.0014
Removed,22,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.3723
Removed,23,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.8598
Removed,24,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.9823
Removed,25,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.5459
Removed,26,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.3525
Removed,27,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.1346
Removed,28,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,168.2235
Removed,29,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,167.8269
Removed,30,4835703278458516698824704,5664,105614,111278,4835703278458516698713426,166.5907
