Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,1,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,2,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,3,4835703278458516698824704,7984,600914,608898,4835703278458516698215806,868.5019
Genetic,4,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,5,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,6,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,7,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,8,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,9,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,10,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,11,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,12,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,13,4835703278458516698824704,7984,554266,562250,4835703278458516698262454,845.7513
Genetic,14,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,15,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,16,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,17,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,18,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,19,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,20,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,21,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,22,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,23,4835703278458516698824704,49230,1740838,1790068,4835703278458516697034636,2993.7546
Genetic,24,4835703278458516698824704,7984,298872,306856,4835703278458516698517848,471.3587
Genetic,25,4835703278458516698824704,7984,274563,282547,4835703278458516698542157,426.2976
Genetic,26,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,27,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,28,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,29,4835703278458516698824704,0,1,1,4835703278458516698824702,0
Genetic,30,4835703278458516698824704,0,1,1,4835703278458516698824702,0
