Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,77371252455336267181195264,94770,1464989,1559759,77371252455336267179635491,2296.9139
Genetic,1,77371252455336267181195264,94770,8770204,8864974,77371252455336267172330276,13706.015
Genetic,2,77371252455336267181195264,94770,4463210,4557980,77371252455336267176637270,4119.2815
Genetic,3,77371252455336267181195264,94770,4470711,4565481,77371252455336267176629769,6624.0487
Genetic,4,77371252455336267181195264,94770,2078512,2173282,77371252455336267179021968,2071.382
Genetic,5,77371252455336267181195264,94770,2720934,2815704,77371252455336267178379546,4069.9493
Genetic,6,77371252455336267181195264,94770,2629802,2724572,77371252455336267178470678,3620.9848
Genetic,7,77371252455336267181195264,94770,1796139,1890909,77371252455336267179304341,1882.5344
Genetic,8,77371252455336267181195264,94770,3783650,3878420,77371252455336267177316830,4174.9507
Genetic,9,77371252455336267181195264,94770,2729432,2824202,77371252455336267178371048,3063.4617
Genetic,10,77371252455336267181195264,94770,1449014,1543784,77371252455336267179651466,2208.6468
Genetic,11,77371252455336267181195264,94770,1031910,1126680,77371252455336267180068570,1615.0306
Genetic,12,77371252455336267181195264,94770,3340786,3435556,77371252455336267177759694,4681.7368
Genetic,13,77371252455336267181195264,94770,5921796,6016566,77371252455336267175178684,9505.7413
Genetic,14,77371252455336267181195264,94770,9647854,9742624,77371252455336267171452626,14812.7706
Genetic,15,77371252455336267181195264,94770,2271112,2365882,77371252455336267178829370,2645.9369
Genetic,16,77371252455336267181195264,94770,5995844,6090614,77371252455336267175104636,5756.3789
Genetic,17,77371252455336267181195264,94770,1614128,1708898,77371252455336267179486352,2559.6732
Genetic,18,77371252455336267181195264,94770,8923920,9018690,77371252455336267172176562,9743.2734
Genetic,19,77371252455336267181195264,94770,4268102,4362872,77371252455336267176832378,6754.1919
Genetic,20,77371252455336267181195264,94770,4163453,4258223,77371252455336267176937027,6502.5209
Genetic,21,77371252455336267181195264,94770,5431394,5526164,77371252455336267175669086,7904.5052
Genetic,22,77371252455336267181195264,94770,2364045,2458815,77371252455336267178736435,3648.6999
Genetic,23,77371252455336267181195264,94770,3060915,3155685,77371252455336267178039567,2993.7546
Genetic,24,77371252455336267181195264,94770,2200675,2295445,77371252455336267178899805,3308.728
Genetic,25,77371252455336267181195264,94770,1983477,2078247,77371252455336267179117004,2126.2372
Genetic,26,77371252455336267181195264,94770,10165042,10259812,77371252455336267170935438,14629.6862
Genetic,27,77371252455336267181195264,94770,9956784,10051554,77371252455336267171143696,17573.4053
Genetic,28,77371252455336267181195264,94770,4233406,4328176,77371252455336267176867076,5656.6899
Genetic,29,77371252455336267181195264,94770,1036272,1131042,77371252455336267180064210,942.3535
Genetic,30,77371252455336267181195264,94770,3642010,3736780,77371252455336267177458470,6191.5931
