Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2454.3805
Normal,1,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2450.2287
Normal,2,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2469.3372
Normal,3,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2449.1687
Normal,4,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2474.2592
Normal,5,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2445.908
Normal,6,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2477.4021
Normal,7,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2458.9488
Normal,8,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2432.329
Normal,9,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2485.7984
Normal,10,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2426.0319
Normal,11,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2444.7993
Normal,12,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2439.0412
Normal,13,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2468.1298
Normal,14,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2438.4667
Normal,15,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2461.4228
Normal,16,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2429.5052
Normal,17,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2427.0551
Normal,18,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2461.3307
Normal,19,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2447.9441
Normal,20,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2441.4796
Normal,21,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2426.4204
Normal,22,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2453.5373
Normal,23,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2429.1206
Normal,24,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2452.138
Normal,25,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2455.7108
Normal,26,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2434.7138
Normal,27,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2452.4322
Normal,28,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2436.7343
Normal,29,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2449.2066
Normal,30,77371252455336267181195264,94770,2746416,2841186,77371252455336267178354070,2444.1032
