Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,77371252455336267181195264,94770,4566508,4661278,77371252455336267176533982,2234.0261
Random,1,77371252455336267181195264,94770,16017796,16112566,77371252455336267165082694,10795.1954
Random,2,77371252455336267181195264,94770,5620699,5715469,77371252455336267175479791,2079.6254
Random,3,77371252455336267181195264,94770,2599682,2694452,77371252455336267178500804,2582.4519
Random,4,77371252455336267181195264,94770,7818453,7913223,77371252455336267173282041,8546.3626
Random,5,77371252455336267181195264,94770,2232554,2327324,77371252455336267178867936,1702.9596
Random,6,77371252455336267181195264,94770,3186115,3280885,77371252455336267177914371,2528.73
Random,7,77371252455336267181195264,94770,13373516,13468286,77371252455336267167726978,7160.1397
Random,8,77371252455336267181195264,94770,11484660,11579430,77371252455336267169615830,4970.852
Random,9,77371252455336267181195264,94770,4426312,4521082,77371252455336267176674182,2947.2189
Random,10,77371252455336267181195264,94770,2970008,3064778,77371252455336267178130486,1913.4138
Random,11,77371252455336267181195264,94770,5960552,6055322,77371252455336267175139934,2861.3703
Random,12,77371252455336267181195264,94770,4631912,4726682,77371252455336267176468574,3354.7886
Random,13,77371252455336267181195264,94770,7404498,7499268,77371252455336267173695988,6137.2564
Random,14,77371252455336267181195264,94770,2948654,3043424,77371252455336267178151832,1963.6291
Random,15,77371252455336267181195264,94770,6781656,6876426,77371252455336267174318838,4775.3204
Random,16,77371252455336267181195264,94770,7084660,7179430,77371252455336267174015830,7008.1958
Random,17,77371252455336267181195264,94770,4046938,4141708,77371252455336267177053552,2137.1485
Random,18,77371252455336267181195264,94770,5259544,5354314,77371252455336267175840946,2779.3733
Random,19,77371252455336267181195264,94770,12279619,12374389,77371252455336267168820875,5524.1978
Random,20,77371252455336267181195264,94770,6087797,6182567,77371252455336267175012689,6902.752
Random,21,77371252455336267181195264,94770,8974026,9068796,77371252455336267172126468,10463.1092
Random,22,77371252455336267181195264,94770,9431190,9525960,77371252455336267171669300,7436.9336
Random,23,77371252455336267181195264,94770,10522184,10616954,77371252455336267170578302,6328.3953
Random,24,77371252455336267181195264,94770,6604090,6698860,77371252455336267174496396,3363.7742
Random,25,77371252455336267181195264,94770,2170482,2265252,77371252455336267178930012,1009.2448
Random,26,77371252455336267181195264,94770,2823820,2918590,77371252455336267178276674,1784.092
Random,27,77371252455336267181195264,94770,2691448,2786218,77371252455336267178409046,1973.0476
Random,28,77371252455336267181195264,94770,11690032,11784802,77371252455336267169410462,9423.0799
Random,29,77371252455336267181195264,94770,2323475,2418245,77371252455336267178777015,1595.603
Random,30,77371252455336267181195264,94770,6841475,6936245,77371252455336267174259019,3339.7312
