Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1490.7823
Removed,1,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1474.6937
Removed,2,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1498.8569
Removed,3,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1498.6241
Removed,4,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1494.0374
Removed,5,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1496.3505
Removed,6,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1494.1052
Removed,7,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1491.0636
Removed,8,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1477.2857
Removed,9,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1494.5609
Removed,10,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1482.9222
Removed,11,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1487.6825
Removed,12,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1486.332
Removed,13,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1491.9992
Removed,14,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1477.622
Removed,15,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1477.8588
Removed,16,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1483.5189
Removed,17,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1495.8242
Removed,18,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1477.2496
Removed,19,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1498.0991
Removed,20,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1500.9771
Removed,21,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1483.0067
Removed,22,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1485.5885
Removed,23,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1478.4333
Removed,24,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1493.1681
Removed,25,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1498.8315
Removed,26,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1495.485
Removed,27,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1486.4158
Removed,28,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1489.8282
Removed,29,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1507.1046
Removed,30,77371252455336267181195264,94770,1189652,1284422,77371252455336267179910832,1490.3312
