Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,5594.0915
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,5529.8387
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,6215.4411
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,6378.1516
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,6523.3658
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,5613.7832
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,5948.2293
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,6371.8211
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,6131.4244
Normal,0,324518553658426726783156020576256,9330,604137,613467,324518553658426726783156019962789,8059.1463
