Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,1298074214633706907132624082305024,2058,388741,390799,1298074214633706907132624081914223,5748.7684
Genetic,1,1298074214633706907132624082305024,9114,854758,863872,1298074214633706907132624081441150,17114.1252
Genetic,2,1298074214633706907132624082305024,9582,1051218,1060800,1298074214633706907132624081244222,20623.9601
Genetic,3,1298074214633706907132624082305024,9114,1851929,1861043,1298074214633706907132624080443979,33744.2327
Genetic,4,1298074214633706907132624082305024,9546,2376574,2386120,1298074214633706907132624079918902,37748.402
Genetic,5,1298074214633706907132624082305024,9546,3130139,3139685,1298074214633706907132624079165337,52621.3697
Genetic,6,973555660975280180349468061728768,6,80714,80720,973555660975280180349468061648046,828.2704
Genetic,7,973555660975280180349468061728768,2106,260155,262261,973555660975280180349468061466505,3236.1365
Genetic,8,973555660975280180349468061728768,6,239596,239602,973555660975280180349468061489164,3773.4963
Genetic,9,973555660975280180349468061728768,6762,1314773,1321535,973555660975280180349468060407233,7992.8391
