Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,5594.0915
Normal,1,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,5529.8387
Normal,2,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,6215.4411
Normal,3,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,6378.1516
Normal,4,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,6523.3658
Normal,5,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,5613.7832
Normal,6,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,5948.2293
Normal,7,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,6371.8211
Normal,8,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,6131.4244
Normal,9,1298074214633706907132624082305024,9330,604140,613470,1298074214633706907132624081691551,8059.1463
