Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,2769.0667
Removed,1,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,2995.8175
Removed,2,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3408.7461
Removed,3,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3536.4455
Removed,4,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3588.0066
Removed,5,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3031.8249
Removed,6,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3152.422
Removed,7,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3342.992
Removed,8,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3095.2754
Removed,9,1298074214633706907132624082305024,9330,306959,316289,1298074214633706907132624081988732,3126.894
