Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,144115188075855872,96,3187,3283,144115188075852589,3.3393
Normal,1,144115188075855872,96,3187,3283,144115188075852589,3.4355
Normal,2,144115188075855872,96,3187,3283,144115188075852589,3.314
Normal,3,144115188075855872,96,3187,3283,144115188075852589,3.3525
Normal,4,144115188075855872,96,3187,3283,144115188075852589,3.3038
Normal,5,144115188075855872,96,3187,3283,144115188075852589,3.47
Normal,6,144115188075855872,96,3187,3283,144115188075852589,3.3544
Normal,7,144115188075855872,96,3187,3283,144115188075852589,3.3507
Normal,8,144115188075855872,96,3187,3283,144115188075852589,3.4563
Normal,9,144115188075855872,96,3187,3283,144115188075852589,3.4086
Normal,10,144115188075855872,96,3187,3283,144115188075852589,3.416
Normal,11,144115188075855872,96,3187,3283,144115188075852589,3.3108
Normal,12,144115188075855872,96,3187,3283,144115188075852589,3.4888
Normal,13,144115188075855872,96,3187,3283,144115188075852589,3.4026
Normal,14,144115188075855872,96,3187,3283,144115188075852589,3.3041
Normal,15,144115188075855872,96,3187,3283,144115188075852589,3.2742
Normal,16,144115188075855872,96,3187,3283,144115188075852589,3.292
Normal,17,144115188075855872,96,3187,3283,144115188075852589,3.4398
Normal,18,144115188075855872,96,3187,3283,144115188075852589,3.2992
Normal,19,144115188075855872,96,3187,3283,144115188075852589,3.3231
Normal,20,144115188075855872,96,3187,3283,144115188075852589,3.4673
Normal,21,144115188075855872,96,3187,3283,144115188075852589,3.2828
Normal,22,144115188075855872,96,3187,3283,144115188075852589,3.4021
Normal,23,144115188075855872,96,3187,3283,144115188075852589,3.3208
Normal,24,144115188075855872,96,3187,3283,144115188075852589,3.2968
Normal,25,144115188075855872,96,3187,3283,144115188075852589,3.2854
Normal,26,144115188075855872,96,3187,3283,144115188075852589,3.4682
Normal,27,144115188075855872,96,3187,3283,144115188075852589,3.4123
Normal,28,144115188075855872,96,3187,3283,144115188075852589,3.3539
Normal,29,144115188075855872,96,3187,3283,144115188075852589,3.3106
Normal,30,144115188075855872,96,3187,3283,144115188075852589,3.367
