Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,144115188075855872,24,386,410,144115188075855462,0.4991
Removed,1,144115188075855872,24,386,410,144115188075855462,0.4629
Removed,2,144115188075855872,24,386,410,144115188075855462,0.4416
Removed,3,144115188075855872,24,386,410,144115188075855462,0.4469
Removed,4,144115188075855872,24,386,410,144115188075855462,0.4394
Removed,5,144115188075855872,24,386,410,144115188075855462,0.4531
Removed,6,144115188075855872,24,386,410,144115188075855462,0.4448
Removed,7,144115188075855872,24,386,410,144115188075855462,0.4534
Removed,8,144115188075855872,24,386,410,144115188075855462,0.489
Removed,9,144115188075855872,24,386,410,144115188075855462,0.456
Removed,10,144115188075855872,24,386,410,144115188075855462,0.4387
Removed,11,144115188075855872,24,386,410,144115188075855462,0.4581
Removed,12,144115188075855872,24,386,410,144115188075855462,0.4477
Removed,13,144115188075855872,24,386,410,144115188075855462,0.4683
Removed,14,144115188075855872,24,386,410,144115188075855462,0.4394
Removed,15,144115188075855872,24,386,410,144115188075855462,0.4493
Removed,16,144115188075855872,24,386,410,144115188075855462,0.4702
Removed,17,144115188075855872,24,386,410,144115188075855462,0.4455
Removed,18,144115188075855872,24,386,410,144115188075855462,0.4601
Removed,19,144115188075855872,24,386,410,144115188075855462,0.4426
Removed,20,144115188075855872,24,386,410,144115188075855462,0.4422
Removed,21,144115188075855872,24,386,410,144115188075855462,0.452
Removed,22,144115188075855872,24,386,410,144115188075855462,0.4698
Removed,23,144115188075855872,24,386,410,144115188075855462,0.4348
Removed,24,144115188075855872,24,386,410,144115188075855462,0.4357
Removed,25,144115188075855872,24,386,410,144115188075855462,0.4499
Removed,26,144115188075855872,24,386,410,144115188075855462,0.4558
Removed,27,144115188075855872,24,386,410,144115188075855462,0.4716
Removed,28,144115188075855872,24,386,410,144115188075855462,0.4304
Removed,29,144115188075855872,24,386,410,144115188075855462,0.4645
Removed,30,144115188075855872,24,386,410,144115188075855462,0.4475
