Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,2305843009213693952,310,16753,17063,2305843009213676877,10.3776
Genetic,1,2305843009213693952,310,13598,13908,2305843009213680030,11.3629
Genetic,2,2305843009213693952,310,16032,16342,2305843009213677598,10.7201
Genetic,3,2305843009213693952,310,15147,15457,2305843009213678481,10.6805
Genetic,4,2305843009213693952,310,13089,13399,2305843009213680539,11.6521
Genetic,5,2305843009213693952,310,15358,15668,2305843009213678270,12.4202
Genetic,6,2305843009213693952,310,18909,19219,2305843009213674719,14.4171
Genetic,7,2305843009213693952,310,10526,10836,2305843009213683102,9.296
Genetic,8,2305843009213693952,310,13203,13513,2305843009213680425,11.3712
Genetic,9,2305843009213693952,310,16585,16895,2305843009213677043,14.4058
Genetic,10,2305843009213693952,310,16380,16690,2305843009213677248,12.9828
Genetic,11,2305843009213693952,310,15125,15435,2305843009213678503,13.7309
Genetic,12,2305843009213693952,310,18320,18630,2305843009213675308,15.5279
Genetic,13,2305843009213693952,310,15622,15932,2305843009213678006,13.6586
Genetic,14,2305843009213693952,310,18840,19150,2305843009213674788,15.991
Genetic,15,2305843009213693952,310,18466,18776,2305843009213675162,15.9713
Genetic,16,2305843009213693952,310,20632,20942,2305843009213672996,15.2736
Genetic,17,2305843009213693952,310,15356,15666,2305843009213678272,13.4994
Genetic,18,2305843009213693952,310,17688,17998,2305843009213675940,14.7342
Genetic,19,2305843009213693952,310,10993,11303,2305843009213682635,8.1527
Genetic,20,2305843009213693952,310,18754,19064,2305843009213674874,15.0148
Genetic,21,2305843009213693952,310,18590,18900,2305843009213675038,15.8511
Genetic,22,2305843009213693952,310,14563,14873,2305843009213679065,12.7097
Genetic,23,2305843009213693952,310,19234,19544,2305843009213674394,14.8458
Genetic,24,2305843009213693952,310,12828,13138,2305843009213680800,11.1485
Genetic,25,2305843009213693952,310,18343,18653,2305843009213675285,15.6876
Genetic,26,2305843009213693952,310,8882,9192,2305843009213684746,7.8418
Genetic,27,2305843009213693952,310,14442,14752,2305843009213679186,12.8187
Genetic,28,2305843009213693952,310,16417,16727,2305843009213677211,14.102
Genetic,29,2305843009213693952,310,12256,12566,2305843009213681372,10.5385
Genetic,30,2305843009213693952,310,11974,12284,2305843009213681654,10.4472
