Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,3746994889972252672,316,12432,12748,3746994889972239908,3.3504
Normal,1,2305843009213693952,310,12128,12438,2305843009213681506,3.4355
Normal,2,2305843009213693952,310,12128,12438,2305843009213681506,3.314
Normal,3,2305843009213693952,310,12128,12438,2305843009213681506,3.3525
Normal,4,2305843009213693952,310,12128,12438,2305843009213681506,3.3637
Normal,5,2305843009213693952,310,12128,12438,2305843009213681506,3.47
Normal,6,2305843009213693952,310,12128,12438,2305843009213681506,3.3544
Normal,7,2305843009213693952,310,12128,12438,2305843009213681506,3.3507
Normal,8,2305843009213693952,310,12128,12438,2305843009213681506,3.4563
Normal,9,2305843009213693952,310,12128,12438,2305843009213681506,3.4128
Normal,10,2305843009213693952,310,12128,12438,2305843009213681506,3.416
Normal,11,2305843009213693952,310,12128,12438,2305843009213681506,3.3108
Normal,12,2305843009213693952,310,12128,12438,2305843009213681506,3.4888
Normal,13,2305843009213693952,310,12128,12438,2305843009213681506,3.4026
Normal,14,2305843009213693952,310,12128,12438,2305843009213681506,3.3041
Normal,15,2305843009213693952,310,12128,12438,2305843009213681506,3.2742
Normal,16,2305843009213693952,310,12128,12438,2305843009213681506,3.292
Normal,17,2305843009213693952,310,12128,12438,2305843009213681506,3.4398
Normal,18,2305843009213693952,310,12128,12438,2305843009213681506,3.3065
Normal,19,2305843009213693952,310,12128,12438,2305843009213681506,3.3231
Normal,20,2305843009213693952,310,12128,12438,2305843009213681506,3.4673
Normal,21,2305843009213693952,310,12128,12438,2305843009213681506,3.2828
Normal,22,2305843009213693952,310,12128,12438,2305843009213681506,3.4021
Normal,23,2305843009213693952,310,12128,12438,2305843009213681506,3.3208
Normal,24,2305843009213693952,310,12128,12438,2305843009213681506,3.2968
Normal,25,2305843009213693952,310,12128,12438,2305843009213681506,3.2854
Normal,26,2305843009213693952,310,12128,12438,2305843009213681506,3.4682
Normal,27,2305843009213693952,310,12128,12438,2305843009213681506,3.4123
Normal,28,2305843009213693952,310,12128,12438,2305843009213681506,3.3539
Normal,29,2305843009213693952,310,12128,12438,2305843009213681506,3.3106
Normal,30,2305843009213693952,310,12128,12438,2305843009213681506,3.367
