Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,2305843009213693952,310,16644,16954,2305843009213676988,9.1962
Random,1,2305843009213693952,310,16971,17281,2305843009213676660,8.1477
Random,2,2305843009213693952,310,10897,11207,2305843009213682738,4.7496
Random,3,2305843009213693952,310,23815,24125,2305843009213669820,8.6477
Random,4,2305843009213693952,310,19140,19450,2305843009213674498,7.9902
Random,5,2305843009213693952,310,13778,14088,2305843009213679852,8.6501
Random,6,2305843009213693952,310,15094,15404,2305843009213678544,5.628
Random,7,2305843009213693952,310,14308,14618,2305843009213679330,4.8204
Random,8,2305843009213693952,310,22098,22408,2305843009213671540,5.4597
Random,9,2305843009213693952,310,16030,16340,2305843009213677604,7.2474
Random,10,2305843009213693952,310,18954,19264,2305843009213674688,5.9217
Random,11,2305843009213693952,310,18592,18902,2305843009213675042,5.9712
Random,12,2305843009213693952,310,16510,16820,2305843009213677128,5.228
Random,13,2305843009213693952,310,15048,15358,2305843009213678590,3.6778
Random,14,2305843009213693952,310,17059,17369,2305843009213676573,10.9786
Random,15,2305843009213693952,310,15372,15682,2305843009213678262,5.9258
Random,16,2305843009213693952,310,24990,25300,2305843009213668648,5.7457
Random,17,2305843009213693952,310,18666,18976,2305843009213674969,8.1496
Random,18,2305843009213693952,310,10841,11151,2305843009213682791,5.4263
Random,19,2305843009213693952,310,14952,15262,2305843009213678680,9.5135
Random,20,2305843009213693952,310,21890,22200,2305843009213671744,6.9315
Random,21,2305843009213693952,310,27510,27820,2305843009213666132,5.7502
Random,22,2305843009213693952,310,12775,13085,2305843009213680859,4.0647
Random,23,2305843009213693952,310,21034,21344,2305843009213672604,5.6797
Random,24,2305843009213693952,310,25564,25874,2305843009213668074,5.4065
Random,25,2305843009213693952,310,20512,20822,2305843009213673120,9.8764
Random,26,2305843009213693952,310,17667,17977,2305843009213675967,8.0076
Random,27,2305843009213693952,310,17350,17660,2305843009213676284,9.2676
Random,28,2305843009213693952,310,17728,18038,2305843009213675904,7.9561
Random,29,2305843009213693952,310,14160,14470,2305843009213679474,4.3778
Random,30,2305843009213693952,310,20742,21052,2305843009213672896,8.9035
